Ensembl_Gene_ID	RatID_1_mRNA	Rat10_trauma_hippo_mrna_FC122_2.bam	Rat2_sham_hippo_mrna_FC120_3.bam	Rat3_sham_hippo_mrna_FC120_5.bam	Rat4_sham_hippo_mrna_FC120_7.bam	Rat5_sham_hippo_mrna_FC122_1.bam	Rat6_trauma_hippo_mrna_FC120_2.bam	Rat7_trauma_hippo_mrna_FC120_4.bam	Rat8_trauma_hippo_mrna_FC120_6.bam	Rat9_trauma_hippo_mrna_FC120_8.bam
ENSRNOG00000000001	2	3	2	1	2	0	3	5	1	1
ENSRNOG00000000007	2962	2219	2531	2339	1293	1174	1722	2419	2580	1776
ENSRNOG00000000008	4	2	1	6	2	1	5	3	7	4
ENSRNOG00000000009	3	1	3	0	1	0	0	4	1	0
ENSRNOG00000000010	59	30	86	30	37	34	16	51	94	30
ENSRNOG00000000012	124	113	95	99	71	104	130	137	153	117
ENSRNOG00000000014	670	648	556	537	254	239	622	703	619	511
ENSRNOG00000000017	6	17	5	3	7	3	7	17	9	6
ENSRNOG00000000021	455	645	320	559	242	243	476	688	630	490
ENSRNOG00000000024	502	620	375	417	251	250	445	547	504	514
ENSRNOG00000000028	50	85	64	42	24	37	56	91	62	55
ENSRNOG00000000029	197	203	121	158	61	68	303	297	113	142
ENSRNOG00000000033	10565	11916	8031	9041	4488	4839	9938	12136	11518	11020
ENSRNOG00000000034	79	103	85	86	30	41	97	91	77	89
ENSRNOG00000000035	0	0	0	0	0	0	0	1	1	0
ENSRNOG00000000036	43	80	25	41	29	29	41	40	56	17
ENSRNOG00000000039	0	2	0	1	0	1	4	0	1	0
ENSRNOG00000000040	92	163	173	205	100	56	208	234	206	249
ENSRNOG00000000041	102	125	90	85	47	49	108	157	101	128
ENSRNOG00000000042	461	523	586	520	289	382	663	672	659	520
ENSRNOG00000000043	513	672	391	725	203	215	600	706	585	610
ENSRNOG00000000044	1490	1651	1095	1355	678	578	1289	1473	1492	1434
ENSRNOG00000000047	1164	1948	1085	1277	549	553	1605	1629	1226	1424
ENSRNOG00000000048	2649	2593	2086	2174	1168	1077	2504	2815	2435	2349
ENSRNOG00000000053	1	0	0	3	0	1	1	1	1	1
ENSRNOG00000000054	9674	10996	5746	8217	4134	4030	7395	10515	10646	9924
ENSRNOG00000000055	5	9	7	4	1	9	5	3	11	10
ENSRNOG00000000060	20505	17278	11246	11683	6530	5809	9822	13791	13623	12339
ENSRNOG00000000062	384	395	367	344	182	214	405	476	380	355
ENSRNOG00000000064	2792	3498	2288	2040	1065	1447	2142	2444	2667	2438
ENSRNOG00000000065	5	2	7	7	6	3	5	5	5	3
ENSRNOG00000000066	321	306	281	273	150	196	361	347	311	249
ENSRNOG00000000068	898	1123	769	904	418	467	1098	1110	944	924
ENSRNOG00000000070	626	744	582	596	315	283	787	728	618	611
ENSRNOG00000000073	145	240	154	158	68	82	259	179	181	156
ENSRNOG00000000075	222	215	189	233	103	143	259	228	238	231
ENSRNOG00000000081	31	41	28	33	13	7	63	49	32	22
ENSRNOG00000000082	226	253	215	186	81	133	278	231	196	208
ENSRNOG00000000091	25	57	34	38	13	12	81	65	36	42
ENSRNOG00000000093	31	53	24	15	11	21	21	34	32	31
ENSRNOG00000000095	601	575	471	506	230	248	565	602	617	538
ENSRNOG00000000096	150	139	120	100	65	73	176	176	146	139
ENSRNOG00000000097	1	0	2	1	0	0	2	1	2	1
ENSRNOG00000000098	513	553	420	412	203	279	568	497	494	471
ENSRNOG00000000104	1136	1257	889	1021	479	469	1042	1091	1127	1145
ENSRNOG00000000105	6350	7390	6723	6499	3197	4262	8267	8639	8636	7391
ENSRNOG00000000108	312	450	285	351	167	170	431	389	319	321
ENSRNOG00000000109	0	3	0	0	0	1	0	1	2	0
ENSRNOG00000000111	765	884	554	739	355	332	723	828	795	700
ENSRNOG00000000112	792	852	722	693	364	399	774	838	803	764
ENSRNOG00000000113	209	213	181	143	80	98	236	230	179	154
ENSRNOG00000000121	113	145	87	112	45	44	111	121	98	121
ENSRNOG00000000122	214	296	181	213	78	115	224	236	211	203
ENSRNOG00000000123	412	547	392	449	208	209	451	534	436	439
ENSRNOG00000000124	17	13	11	9	6	6	9	20	12	16
ENSRNOG00000000127	660	541	541	473	232	267	626	680	552	484
ENSRNOG00000000129	2787	3021	2425	2693	1256	1482	2988	3680	3276	2766
ENSRNOG00000000130	2683	3506	2372	2649	1305	1680	2599	3419	3061	2698
ENSRNOG00000000133	1180	1591	872	1149	554	530	1246	1436	1395	1277
ENSRNOG00000000137	59	65	43	36	16	14	61	63	50	31
ENSRNOG00000000138	35	42	17	41	20	17	25	41	25	30
ENSRNOG00000000142	596	620	483	547	227	282	751	679	479	539
ENSRNOG00000000145	180	179	231	185	112	109	233	261	168	182
ENSRNOG00000000146	48	33	13	47	13	26	33	29	29	35
ENSRNOG00000000147	2734	2727	2256	2253	1125	1103	2723	3085	2542	2410
ENSRNOG00000000150	135	237	134	129	74	89	186	164	163	152
ENSRNOG00000000151	424	657	498	632	198	267	805	676	486	618
ENSRNOG00000000155	361	379	344	345	180	178	465	412	371	335
ENSRNOG00000000156	66	72	58	58	17	13	77	105	67	66
ENSRNOG00000000157	947	1078	1013	1001	447	467	1130	1166	1024	812
ENSRNOG00000000158	1306	2538	1026	1397	626	686	2135	2219	1501	895
ENSRNOG00000000161	181	180	151	138	87	85	232	149	139	146
ENSRNOG00000000164	1230	1746	1235	1449	676	619	2031	1683	1303	1378
ENSRNOG00000000165	2	6	2	1	0	1	7	3	1	1
ENSRNOG00000000166	85	96	79	78	44	42	85	104	77	71
ENSRNOG00000000167	27	69	28	39	23	23	54	50	71	63
ENSRNOG00000000168	2209	4081	3040	3511	1531	1418	4215	4206	3574	3547
ENSRNOG00000000169	96	104	59	68	37	43	98	102	118	91
ENSRNOG00000000170	1060	992	836	866	397	437	1069	1075	879	930
ENSRNOG00000000172	95	93	86	101	42	41	155	118	105	92
ENSRNOG00000000175	791	1086	632	915	386	455	785	1043	996	893
ENSRNOG00000000177	148	328	201	258	83	116	266	276	230	247
ENSRNOG00000000184	23	43	23	25	14	20	17	26	42	15
ENSRNOG00000000185	365	647	303	403	221	247	481	505	481	413
ENSRNOG00000000186	1237	1719	936	1234	563	539	1404	1794	1390	1203
ENSRNOG00000000187	49	62	26	51	12	12	55	91	33	45
ENSRNOG00000000190	97	60	81	100	52	61	125	145	92	91
ENSRNOG00000000195	84	105	66	101	26	32	166	139	76	92
ENSRNOG00000000196	53	32	28	30	5	11	24	21	25	21
ENSRNOG00000000199	1	0	0	1	0	0	3	1	1	0
ENSRNOG00000000201	31	40	16	34	10	10	34	27	22	19
ENSRNOG00000000204	210	344	227	255	102	131	315	268	236	251
ENSRNOG00000000207	292	387	281	281	116	158	361	306	303	328
ENSRNOG00000000216	156	187	177	162	88	83	183	206	164	187
ENSRNOG00000000217	123	207	118	155	56	55	160	168	118	109
ENSRNOG00000000219	611	662	504	489	233	195	611	671	587	521
ENSRNOG00000000221	152	187	154	169	91	97	239	175	169	180
ENSRNOG00000000230	287	372	229	272	135	113	320	348	305	294
ENSRNOG00000000231	3989	5508	2803	4075	1784	2228	3400	4522	4596	4152
ENSRNOG00000000233	177	132	93	130	56	36	134	132	108	135
ENSRNOG00000000236	1245	1398	1102	1156	604	603	1253	1463	1292	1188
ENSRNOG00000000237	616	559	561	496	209	286	660	643	517	540
ENSRNOG00000000239	2	2	2	0	0	0	1	2	3	1
ENSRNOG00000000242	1235	1180	1110	1080	496	548	1287	1290	1167	1183
ENSRNOG00000000244	160	194	161	147	67	100	184	186	192	174
ENSRNOG00000000245	186	199	100	139	70	58	153	179	124	160
ENSRNOG00000000246	2877	3130	2688	2435	1411	1384	2795	3002	2886	2761
ENSRNOG00000000247	641	753	590	637	279	330	689	773	749	598
