"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HMGCS2",0.692500988430765,8.7299495817703,8.66816816115308,6.46378139144181e-11,2.62234163480795e-08,14.7843969723728
"CBR1",0.29608533757598,8.79070214417907,7.92384494099601,6.96341712295368e-10,1.34179691484607e-07,12.483896662403
"PIK3C2G",0.650113807541618,8.61023213817727,7.7213945166434,1.34166305006849e-09,2.24057729361438e-07,11.8235750324651
"PENK",0.302730245248568,9.08547610866867,7.57366883956502,2.16986341287738e-09,3.39719240578615e-07,11.2427607056951
"PDK4",0.341413760852685,9.2130462749237,6.60504407830427,5.2608753326482e-08,4.70660453867276e-06,8.01969762454755
"PEX11A",0.395867497520277,8.01070037774415,6.12127546102644,2.62002377921999e-07,1.87518844769888e-05,6.40647390602522
"UCP3",0.306315851310871,8.59825122382579,5.93412376604064,4.87590508635126e-07,3.21424795823945e-05,6.17475400699841
"KCNA4",0.257401818674989,8.12587899558809,4.93553551426692,1.30167203657125e-05,0.000572050605545786,3.11197765602614
"FBXO21",0.477067408608617,7.72505401315755,4.77414669226938,2.19291831236912e-05,0.000845116980382253,2.24112574224579
"CYP2E1",0.441751148339561,8.37754743363614,3.73622426163136,0.00055550761904748,0.0090368691278119,-0.33331393385497
"VIPR2",0.343258603800091,7.47985515114716,3.0452229846811,0.00399755981557051,0.0395832185236734,-1.98140035168597
