"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTSZ",0.333876880184587,7.09523807468965,7.91662961868619,2.50855666820469e-08,7.14687794771515e-05,9.19020386375109
"TYROBP",0.382796669786379,6.94576153965997,7.76850982508746,3.54178784996673e-08,7.5679151884164e-05,8.90089478510093
"GPNMB",0.630475947956829,7.09633979775054,7.49379284916358,6.76632308812505e-08,8.33049394803603e-05,8.24715742523356
"PTPN6",0.362879992522013,6.73943351070335,7.44544734525259,7.59043245475101e-08,8.33049394803603e-05,8.17590849256619
"CD74",0.463771079276287,7.25770357331208,7.46160771413686,7.3041113479607e-08,8.33049394803603e-05,8.07450714971433
"TGFB1",0.34239757889615,6.78863689347132,7.40003904909396,8.4579793132825e-08,8.33049394803603e-05,8.07359882545479
"ITGB2",0.409775293003855,6.89205137348866,7.38476724922822,8.77201889930084e-08,8.33049394803603e-05,8.02712857380113
"RASSF4",0.347156242701571,6.72899820189684,7.3150416806449,1.03645714430709e-07,8.85859921239266e-05,7.8761460974864
"CMKLR1",0.546960525936024,6.47448509620119,7.25397765086193,1.20011615371304e-07,9.32490251435029e-05,7.54576814068917
"MYO1F",0.455278442477726,6.59758424320122,6.90438222509266,2.80310730994739e-07,0.000171129701272288,6.88666062628618
"ITGAL",0.748790257865609,6.2688001010536,7.07209475410758,1.86242905064153e-07,0.000132651509131943,6.7277750392218
"DNASE2",0.259917771965871,6.86890656068668,6.82834518990542,3.37775795881254e-07,0.000192464648493138,6.70158821160352
"IFI30",0.386608829629496,6.78555707732329,6.70524804684161,4.57481096085037e-07,0.000229797444118746,6.44091768728007
"CYBA",0.41430669490316,6.62307591958488,6.6824994835315,4.8395390126798e-07,0.000229797444118746,6.38582775335512
"UNC93B1",0.358573213874023,6.78100822960914,6.54944384160995,6.7331013072625e-07,0.000300735604551116,6.06474996026414
"IRF8",0.475175833921522,6.44793078938965,6.52521379338799,7.15195086641528e-07,0.000300735604551116,5.92520206878916
"ARL11",0.765313094268403,6.13640979751055,6.74936073891223,4.10272822953101e-07,0.00021916261361126,5.80011757507912
"SPI1",0.412801008135907,6.55327325803393,6.43062422619394,9.05755798059356e-07,0.000300735604551116,5.77568298243497
"NFKB2",0.266365374047754,6.38979563214474,6.43105819212033,9.04772716079853e-07,0.000300735604551116,5.70883958571894
"FERMT3",0.450418782559444,6.50189807058114,6.41060575928278,9.52305949363493e-07,0.000300735604551116,5.70176757031654
"RT1-CE15",0.252521104547799,6.58528365528617,6.35995566811046,1.08126013434102e-06,0.000300735604551116,5.62541669547814
"TNFAIP8L2",0.296197442694904,6.4233753555571,6.37031695310805,1.05350821638809e-06,0.000300735604551116,5.58814431637612
"FCGR2B",0.557778932131407,6.61770751125164,6.3459307385786,1.12001328819259e-06,0.000300735604551116,5.57971894418577
"VIM",0.351400101046937,7.43045697358348,6.4578682175187,8.4609681711217e-07,0.000300735604551116,5.51770754173382
"HCLS1",0.472879264822306,6.47553335447151,6.3315760602562,1.16114133031319e-06,0.000300735604551116,5.50054691612179
"RT1-DA",0.735119524296178,6.59478981847295,6.30755869362731,1.23341915399589e-06,0.000306354268633385,5.4517791292995
"FCER1G",0.333621690648806,7.04931333947528,6.33324004650098,1.15629615185824e-06,0.000300735604551116,5.41144488680724
"ARPC1B",0.341771619816826,6.91078118513394,6.28076871720469,1.31945538963785e-06,0.000313260700423185,5.35579510167117
"PLEK",0.348657366651358,6.56175813983951,6.18042774255477,1.69965815613542e-06,0.000377981066910204,5.19117465601863
"SERPING1",0.629003926655779,6.92632263304839,6.14458316961061,1.86102221658899e-06,0.000377981066910204,5.05968903582345
"SH3BP2",0.265607726953201,6.6966700909134,6.11811879787508,1.99007230735453e-06,0.000377981066910204,5.03079833290093
"PLEKHA4",0.706598466235272,6.0252625677661,6.45022435085745,8.62420159928565e-07,0.000300735604551116,5.01540785332406
"RT1-BA",0.887922712634854,6.4162051952069,6.12630875097652,1.94919243168168e-06,0.000377981066910204,4.84929939456558
"BLNK",0.30188051374571,6.69012214444372,6.03906385810611,2.43233819862573e-06,0.000429244147795909,4.84118220838833
"PRKCD",0.291027334594182,6.74773450704191,6.03447878927009,2.4608591601731e-06,0.000429244147795909,4.81184108381647
"CD53",0.33949561714152,6.68508341746684,6.02128488684773,2.5448380504094e-06,0.000435014616336982,4.80163131390436
"EVA1B",0.349035167749002,6.43692344006061,6.00622930840613,2.64422551804635e-06,0.000438188162619546,4.74144953898612
"VAV1",0.590590058420124,6.16948491678055,6.1303092763929,1.92953489831988e-06,0.000377981066910204,4.68917891871427
"ICAM1",0.393532250436472,6.45394510304325,5.97815694683983,2.84018344785502e-06,0.000458019772241827,4.67742594973292
"CSF3R",0.493670942719351,6.34484032046925,5.96594711861561,2.92994999089896e-06,0.000463745973559507,4.56462895317081
"P2RY6",0.356221060528552,6.44250852922334,5.89815004444064,3.48340586571192e-06,0.000504621524309148,4.48763542517232
"TNFRSF1A",0.320780636955958,6.84889069974036,5.90292564587826,3.44116229071495e-06,0.000504621524309148,4.44445726640873
"STAT5A",0.269780661008283,6.32509329206649,5.81400441017207,4.32027399563817e-06,0.000583998145815757,4.24234304387031
"ZFP217",0.381880257685429,5.97659551753495,5.90369275614579,3.43442521725805e-06,0.000504621524309148,3.98697167793124
"MAP4K1",0.341490640198561,6.22971990483054,5.74040155653642,5.21812326108972e-06,0.000665661186754237,3.98582236515776
"FGD2",0.417557322778477,6.4113961101415,5.68759995970837,5.97665872745837e-06,0.000731643835586647,3.97238051027977
"ASPG",0.983860668784631,6.13625668597968,5.91026612991917,3.37724046903287e-06,0.000504621524309148,3.95427852539756
"NCF1",0.467711970829258,6.6830839248279,5.65963554920326,6.42264689915576e-06,0.000742072326885713,3.92363387046815
"PSMB9",0.46275996550996,6.33787450353535,5.66289446199875,6.36898544546354e-06,0.000742072326885713,3.86978079627241
"PYCARD",0.56468842796874,6.01295798778659,5.84570719700272,3.98336864718351e-06,0.000549126642378669,3.85121730079033
"SSC5D",0.255598022602631,6.94099766154567,5.68659248395567,5.99216900562364e-06,0.000731643835586647,3.83713929773444
"LCP2",0.292731227448676,6.57466501231967,5.6146207746586,7.21240839661399e-06,0.000770555682073247,3.82315019292174
"S100A4",0.687157932938594,6.68945448901029,5.56103108419133,8.28179302997953e-06,0.000823896508431375,3.69477702764566
"PDLIM4",0.27815040800049,7.1447719627387,5.63953704224994,6.7638481251694e-06,0.000750787141893803,3.59169395686329
"TAX1BP3",0.282010725253932,6.53471814545291,5.50043037222272,9.68564254915465e-06,0.000899817248561139,3.54792364291625
"TACC3",0.409077697693619,6.06542894886527,5.63332927768073,6.87289582550645e-06,0.000753110777187226,3.5446154366744
