Gene,GSM5283787,GSM5283788,GSM5283789,GSM5283790,GSM5283791,GSM5283792,GSM5283793,GSM5283794,GSM5283795,GSM5283796,GSM5283797,GSM5283798,GSM5283799,GSM5283800,GSM2114177,GSM2114178,GSM2114179,GSM2114180,GSM2114181,GSM2114182,GSM2114183,GSM2114184,GSM2114185,GSM2114186
A3galt2,3.13188539731056,1.88505236302285,2.95065366684061,2.83666772001081,3.29011861787959,3.00483967371399,4.55488783856597,4.64102841494732,4.74629088426172,4.79750228379829,3.30701742756797,3.01420637427337,3.00288491560047,3.84562009418713,2.06949490157097,2.53483962268949,3.73794104366622,2.25150922364657,4.22839227835649,4.27399309751309,3.67641012955592,3.97873008802233,4.29794290606385,4.14356144099507
Aaas,5.33421684079267,5.24342415545902,5.58122776317243,5.38380975654562,5.15098571282951,5.47994347571652,6.04154806600832,5.58172269743754,5.68317814164007,5.57018118081921,5.35368889355258,5.48368852005869,5.24813658215855,5.2652513602836,5.58995443030278,5.35423452416999,5.62972474744487,5.32879567664408,5.50978551417229,5.2364654549945,5.19001252727906,5.4633016980882,5.61405625062355,5.51298578219228
Aacs,5.83469106537303,5.60881752050923,6.19072413369277,6.11551073361284,6.10233016499842,6.07977920481965,5.90673506895664,5.81850262410491,5.56725505824412,5.51495999335545,5.89513328090659,6.10533302776468,5.94237522081485,5.97110425226332,5.84084887465311,5.6528232061158,5.99416188430802,6.05442351116541,6.27537881873969,5.60145279896012,5.65784579801597,6.02340367778945,6.16806544960976,5.93674097797985
Aadat,4.3125074864454,3.98539162951362,3.42633670870283,3.21112962643808,3.26644739202858,3.44729622458803,5.18191375517093,4.42740229231446,4.74154533767486,4.24453474716306,3.56949753268489,3.88034529453493,3.54096032612108,3.93409297553745,3.12638488722951,3.58164316648067,4.40126800847732,3.57917621596499,3.42887308714662,4.63055447292942,4.26086312047025,3.75670595613115,4.16559338639129,4.41411469172744
Aagab,4.69549741737827,4.96246825484231,4.88062750102067,4.92161537827528,4.75939878476065,4.63677703963414,4.75272449672698,4.78102471083725,4.35113265571873,4.68730439981481,4.97382138819525,4.84788424563438,4.92390652276091,4.8553679235057,4.59374215530372,4.78249704931433,4.93020558227691,4.95691537355638,5.0560067400317,4.95902686479362,4.72891831132412,4.72005423382983,4.83520325032709,4.5247174462483
Aak1,9.08323423730085,9.63979733313814,9.09143171841693,8.99362159732784,9.5193408079524,8.96620156684574,8.56437610429846,9.14702181922602,8.70189158087815,9.05715877079943,9.16120645728265,8.69617883457674,9.20505940923635,8.89670487362691,9.71251793657442,9.25745696684148,8.87934557326825,9.19081265118077,8.78381680746506,9.20677563740581,8.76406003694534,8.85548845895394,9.09814843190838,8.82684825538892
Aamdc,2.60735043124133,2.17003161123143,2.21873159441658,2.1974633433381,2.03001220562578,2.33009654071864,2.36452618164037,1.54858851541728,2.30092900479618,1.84911056457623,2.27731232078433,2.46505330059991,2.22401925143141,2.33076620186631,1.6602983736128,2.07536939627997,2.3762364856957,2.52966825115976,2.21475320551812,2.80224615420605,2.56078402648108,1.86266069287928,1.95420021409655,2.13937163686765
Aamp,7.89451504700446,7.84527135923111,7.84927728428366,7.92868187271521,7.83620489120936,7.76121487255266,7.81992057555811,7.99421937496541,8.08815235960748,8.0178972205575,7.93914512740878,7.87843412563589,7.96068984965153,7.84812911381409,7.94318391898421,7.80543283680351,7.88860801143848,7.98264438181525,7.86204124618258,7.73099258583891,7.93859315085211,7.89008349807666,7.98004473238462,8.15419453564332
Aar2,5.29750535551816,4.96722830598474,5.2647170309796,5.38594451340525,5.61978710830913,5.32890228414704,4.60157546180875,5.21078411616954,5.2848952446349,4.74243387473571,5.37621095104651,5.29448627248882,5.64972605815001,5.49578104164727,5.53095652004272,5.47107446563943,5.1347329786999,5.13884530953932,5.25285886251765,5.14423281707611,5.38353534839893,5.340403644611,5.26416895677724,5.23059133523897
Aars2,4.59564369973198,4.43087164797736,5.1017746716076,4.92983090189001,4.62904396036614,5.04974968782989,4.7058710824924,4.36926353852071,4.13364130715309,4.09740018021953,4.80098651100276,4.96760229182489,4.84763432145682,4.83252624426857,4.59012621945363,4.19191621461788,4.56129251713384,4.56259014603515,5.0893873633547,4.62179995961861,4.89118229356282,4.82297723538716,4.486878276829,4.96968931494263
