Gene,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355
Atp6,12.6606701128838,12.7251137414877,12.8729482108074,12.6757337206972,12.7789002695614,12.548314562469,12.7321294640115,12.5485006991234,13.0713571627732,12.7543846264251,13.5548925029725,13.0143516434093,12.649431661313,13.119203307331,13.9741460616358,12.9205444784052,12.8271533141335,13.2503568885319,12.6164722544704,12.8994677237729,12.9555170858522,12.5741925733951,12.607410248753,12.9789447469507,15.3808780973176,15.3690994251009,16.5828785084638,15.9981041453291,16.0242492228249,14.765891707736,15.2622065600574,16.2490754464436,14.5385995290665,16.095627254876,16.8435507789249,17.3013653236562,16.8329672709415,16.6448328049849,16.0025898195816,15.9548485510704
Aagab,5.85172849908262,5.34429090374801,6.20727768847618,5.85991639612245,6.02516384346677,5.56712827790473,6.16853900061782,5.63596229705703,6.04628879016945,6.14740342872729,5.88022148667749,5.91958845412542,5.74163560196558,6.58349562548949,6.58849235694696,6.00964887790087,6.44161420628499,6.10322549463818,5.95706512941867,6.11078191931348,5.49254263514862,5.78761578758939,5.76222477127075,5.62011470271102,3.08592949606591,3.17685684343406,2.48518700509528,2.90134922067102,2.95466947009635,3.74955758943324,2.85110640047351,2.56973126002741,3.64913502498435,2.74702841802471,2.08930444900642,1.73553706954202,1.93639518520311,2.42727810025777,2.81188232887543,3.03374128144761
Abcb1a,3.34633267298882,3.6708008343233,1.06543931750356,3.19229898312438,2.42664681795844,3.8264760659374,3.71450390561837,4.28440173999287,2.26990785356765,3.81750337366934,4.2664974403495,3.72209062632732,4.45187245831716,1.78722517580006,3.98080394965478,2.65773724453326,3.69292123157696,2.78909495094454,4.10879079186089,2.6376692346275,2.6144749636109,3.90259850762278,1.6795270843032,1.85436525879267,4.41012230723395,4.46615434099616,4.80867062514782,4.50204327061456,4.71793347722841,4.61817536938642,4.54528570077829,5.18951069741583,4.68972605130634,5.01611800237961,4.95373447310685,4.93226597886262,4.96449235307223,5.11541317453889,5.09015084448158,4.79458417793119
Abcb6,7.29307956642429,7.16112640833438,7.26423263338954,7.16899426672534,7.05491837140006,7.11172783944841,6.72399605334581,7.31968618697039,7.81476801373581,6.98808030271524,7.7481240763335,7.62412623180873,7.42759001037804,7.47548097523016,7.16008423034732,7.20982027527418,7.09164340412017,7.69053777817329,7.36080738963069,7.31271189624733,7.27950314064742,7.25170082558797,7.70484786363448,7.23574633845331,4.49470921247535,4.7297288962574,4.13538919772088,4.58050446337417,4.25021599178771,5.08933504233057,4.86350475803992,4.23964434850168,4.72201440275306,4.29512783453217,3.6004702161476,3.68378562282627,3.75697254331117,3.74270675551895,4.09385616386915,2.98365905975312
Abcc1,4.78657039570723,5.05063328259721,5.51749715201263,5.04429254936692,5.60304756956655,5.40285458959714,5.20124152194592,5.36218940751699,3.81936781380791,3.78168491480492,3.8376765467602,3.96142308261616,4.16438722283928,3.75278215375867,4.6285995879245,4.71214430455127,4.33868143202328,5.08357469057659,4.40542548767369,4.91930904947745,5.03871244276355,5.42558545367433,4.72873480034911,5.36586472072913,4.42438562134938,4.62571560590807,4.22528971432067,3.49401265457027,4.68790956630983,4.92821735077736,4.79396761468907,4.30813052918781,5.03059189587678,4.57210613947862,3.80976545488238,3.70032223934265,4.1399075705444,4.35138775099086,5.15058022013334,4.73496559454695
Abcc3,6.65284212489406,6.82176532223846,5.62982003235096,6.40671514159987,6.87960104979059,6.81916965657385,7.10396328563962,6.69018034747933,6.56394215057503,7.06657411200682,6.25106122721467,6.45506671878146,6.7619552873091,6.91937955987685,6.91354079642533,6.97686935872745,6.84116271192643,6.39093194483097,6.89236826719839,6.77597892583735,6.77123531585184,7.23785845995434,7.84156444968552,7.28023362692779,2.37241762112169,2.30438559019386,2.09372879706656,2.1874160569765,2.21931470733026,3.08623506155752,2.90658682351113,1.61896369546036,2.8605278257321,2.14975289938044,1.26463511750522,1.54178060398472,1.76655009639945,1.99498629517207,2.42098837475067,3.34271356535066
Abcc8,5.8764878405445,5.9148113528061,5.8731731847378,6.03877436554351,4.98122695486537,6.01968977294644,6.04697049143958,5.85147822784445,5.76859474278148,5.67486701927528,5.4010881830068,5.30865006645311,5.68093932252262,5.46309227649852,5.34147536482593,5.55439724726605,5.87115102896996,5.65500348665403,5.47641077988705,5.85737558822753,6.01575503334959,5.73945622265232,4.77342050294838,5.44671111699088,3.13829403464085,3.60139488404964,2.43535854585077,2.28568670089375,2.82561341184308,4.84862133813098,3.1740930114593,2.68135096652272,4.49438583115835,2.85106874121356,1.1488578692268,0.978141305278037,1.25228246989209,1.71799953079849,2.66063092087297,2.76390126890048
Abcc9,7.40434154241786,7.71513330218557,7.57130233629423,7.58005122075349,7.62985265635371,7.16060269022748,7.04912372032106,7.80856499680273,6.55468555348074,7.5936872151056,6.81688281110305,7.23746925755266,7.55254870310105,6.99926678027593,7.31571595839764,7.63122011317087,7.31695378049869,7.30356935005267,7.20823347878819,7.0648704244059,7.32582333865499,7.59523348191313,7.31139195926235,7.50788293457861,8.09036082540134,8.21811393128307,8.49317978295673,8.09072927766301,8.59171027720469,8.15154539021213,8.26334965431987,8.49888632146419,7.96195163230235,8.52033427772848,8.46150416358898,8.58472679136051,8.56895946166966,8.62608832170427,8.34136824803594,8.1654842784288
Abcd3,8.81050794702534,8.62764749453995,9.18455974268367,8.89694649831537,8.857038961589,8.83449482076037,8.73183647115665,9.01702966889201,8.7229766882248,8.83076732634801,10.6621983226102,9.60098165413672,8.93576195065244,9.08489762169033,11.7860210349221,9.60903374662909,7.87930062898895,8.1221162918878,8.07729521730622,8.04520474053328,7.99989274170337,7.95141935394423,8.05929789938327,8.21979822526617,6.23540719990728,6.22415828004491,6.83188128326093,6.33721624663079,6.91613504984482,5.90660168979672,6.21302836735756,6.96978791600012,6.14251915384391,6.79454763015021,7.35830362741352,7.55811979701648,7.52227924457705,7.5165043627536,6.63409237164391,6.96845664355347
Abhd13,6.31124345986102,5.79239085569813,6.31434251186226,6.11508415114364,6.23956416070595,5.77016033777741,5.80530202018066,5.81626464945557,5.86686911120287,6.13481489074529,6.15773454098312,6.07071691058783,6.261868392684,6.03077695903587,6.14690999001159,6.14506055464806,6.28127095929297,5.72083755949082,6.00787868474743,6.02499065844142,6.41509223282539,6.29767040134397,6.21898387514815,6.19153142913445,4.46995043305267,4.53674526761928,4.93969013224702,4.59015188657942,4.74054315304118,3.8607563136834,4.71291300683515,4.69685224051622,3.9352140405493,4.69992916765363,4.97262340952462,5.01394496469796,4.96362236734482,4.97686786180022,4.52626223669716,4.64116003365872
Abhd14b,6.70161399573003,6.46030271394844,6.61825169234761,6.7048710571559,6.37813832554813,6.71668834365511,6.81702039589737,6.74999257625792,6.54487717470379,6.75281951653952,6.31744246214464,6.38166391362651,6.78845296391618,6.7723642003762,6.66837873618868,6.52723958908886,6.75885205707782,6.75550264973692,6.59254123993689,6.95980912428233,7.78561599085668,7.47374190865722,6.71527357160757,7.2580560378638,3.85688896730465,4.02447943524424,3.71578119690045,3.72796946473612,3.42462411407732,3.93471536090797,3.51125450273991,3.55915868514421,4.03351116860547,3.59713289198044,3.29480235902057,3.24835793862967,3.61403145853487,3.66564295030767,4.13857885634489,4.05061615458052
Abi2,5.66022234462887,6.05001311685159,6.43039143952891,5.7855472137669,6.20951613433554,5.64365573091361,5.57604806666676,5.79362367792153,6.07064712491254,5.4492654289692,6.1078041401092,6.05287459341493,5.80195791823366,6.10119287440995,6.37118843287783,6.01227556193786,6.15368057606434,6.28337507797403,6.26379735099186,6.32759684228571,6.53550122792928,6.50940712198279,6.5744018887786,5.98717758547023,3.93462103429392,4.03598310944628,4.654062493011,3.79624420175987,4.54714560496667,3.94209110827082,4.05376252705566,4.55384320020901,3.80494560893699,4.20637272234992,5.0269236445584,4.96162091319834,4.93584072192156,4.75673069957404,4.09839133810016,4.39518066480781
Abracl,5.05349653076557,5.52750048179672,5.40636716012609,5.66766873373529,5.06047749213745,5.76876911764248,5.72707985307348,4.81532937421825,5.50011764377321,5.18365735737222,5.66834349354333,5.34934697635905,5.50207749092481,5.42024296282934,5.8969469172434,5.93156941563768,4.65470803356494,4.03955324109493,3.88389764111807,5.21282912821873,5.14587587661941,5.07832428928086,5.94415075068953,4.96287901230787,4.55159430422572,4.37857986833632,4.59477064148145,4.7536093426288,4.54941809426756,3.75165781304107,4.41684326489897,4.23964252491681,3.37998141171298,4.55545917920658,4.61725428117311,4.56874127568927,4.56813193783026,4.07623043583303,3.95071491424099,3.49348203388604
Abtb2,6.17867769084413,6.04456875523648,6.34618910317287,6.24832900717607,7.10931667009701,6.18995265703371,5.66609689745352,5.58381690273679,6.07064712491254,5.75599012318139,5.80161834670849,5.36455350938101,5.938740450843,5.44515533310767,5.8731011183605,5.83964036818323,5.97901797369395,5.82500321377108,6.17666478354467,5.26580917333992,5.41260104978346,5.98734947405704,5.31769053235544,5.32196310293439,2.55471981308033,2.52451868444566,2.41835913484625,1.94831678696666,2.13709267329612,3.74955758943324,3.1374577937797,1.7780913305556,3.88880340020292,2.20315602770568,1.81324618174258,1.68948309653789,1.48916660057174,2.20564840791415,2.31586880489446,3.56334242467647
Acaa2,11.2925715329368,11.2270597803079,10.9259036674329,11.2188543843958,11.623693353591,11.476362113429,11.2894341918324,11.1386267436722,11.3643978724596,11.360171479056,10.9572593858881,11.346578893886,11.3925289627049,11.5979356458267,11.9010309438187,12.0828212143253,11.6443034684538,12.0601801108512,11.7275512801665,12.1972401449267,12.1420287870687,11.7684477044938,11.4563875608146,11.6722414213401,8.61529714633386,7.8711781309684,8.05671646013527,8.15105747938717,8.74769974795769,9.44458625649352,8.803573845288,8.58090858786921,9.90833059317053,8.86333341918869,8.22191461594318,8.29490618740575,8.43472848622633,8.76051684596315,9.47061454605102,8.99037401809876
Acaca,2.96700637965735,3.35760427827389,3.70071050171732,3.80544908421304,5.36001181479175,4.40123916651563,3.45227113552011,3.55623861107544,4.82190672359749,4.05169860821094,3.61038989140802,2.72677007696876,4.21887793477867,3.73424294500234,2.57634298396319,4.4699559313965,3.24309108071373,3.18990680223587,5.1840104662098,4.10777088788568,4.10463490234112,4.35294383445952,3.63421066343135,3.03002723690664,4.42615823408424,4.27316901537003,4.46833443580038,3.82376475948419,4.18155239141389,4.10701621447154,4.18520690473597,4.01302864960966,4.00016203819073,4.07502618156105,4.03483849565827,4.22571713142138,3.8870141488778,3.92571220595386,4.51273515860446,4.5057715867441
