Gene,GSM5283787,GSM5283788,GSM5283789,GSM5283790,GSM5283791,GSM5283792,GSM5283793,GSM5283794,GSM5283795,GSM5283796,GSM5283797,GSM5283798,GSM5283799,GSM5283800,GSM2114177,GSM2114178,GSM2114179,GSM2114180,GSM2114181,GSM2114182,GSM2114183,GSM2114184,GSM2114185,GSM2114186
A3galt2,2.97808101999103,1.44432189805576,2.75514353586253,2.61492669774955,3.17272748729416,2.8217990382737,4.72855034089611,4.83451392315644,4.96399980303661,5.0269961698526,3.19351511707027,2.83332124054965,2.81939444358834,3.85606313297019,2.69512237621625,2.9939624558373,3.76658307044894,2.81201029184684,4.08154632107481,4.110830745737,3.72706848601855,3.92121556958699,4.12621109146654,4.02706874124868
Aaas,5.5964650168214,5.48375414898229,5.90310662924701,5.65803011485376,5.36900022302251,5.77737139082257,6.47455245250835,5.90372104515881,6.0296687591299,5.88939330114011,5.62063780075342,5.78202052303351,5.48960419847669,5.51085064017251,5.09637713621485,4.98073789629233,5.11588761931846,4.96825813147033,5.05704794811684,4.92296286206097,4.90017403042889,5.03424396329922,5.10820098354437,5.05861793245737
Aacs,5.62109654647369,5.34391625669616,6.0580018472107,5.96570386675496,5.94952935711868,5.9218559893461,5.70950520806388,5.60123093164727,5.29291296039841,5.22873917126114,5.69526809598601,5.95321431443502,5.75324095244126,5.78849572858919,6.15219867301578,6.02448680068065,6.25633281421405,6.29726406182395,6.44734259233637,5.98959469828045,6.02789827434026,6.27619459279461,6.37445259064251,6.21733105708483
Aadat,4.63965496294443,4.23515126816627,3.54383723902386,3.27771727548851,3.3461219097918,3.5697552782649,5.71474209342286,4.78173114940869,5.17019297369637,4.55560148891907,3.72086651174513,4.10525346675626,3.68557808029463,4.17171657177112,3.14395503678382,3.3984937880061,3.85675296364534,3.39711449512509,3.31307874562229,3.98494896357269,3.7782514042281,3.49637287311887,3.72498529079987,3.86393565281513
Aagab,4.39793342852951,4.72596315063625,4.62540460278836,4.67576681505578,4.47644967391344,4.32578311662136,4.46824890985344,4.50302166427986,3.97480902234506,4.38786658639765,4.73991285845521,4.5851726393752,4.67858196706289,4.59436790877535,5.06376692152491,5.18945996791973,5.28781998970296,5.3056062042119,5.37159175541572,5.30701225923069,5.15378155631997,5.14787891252587,5.22455735177256,5.01780294266668
Aak1,9.07360772089828,9.7581214576371,9.08368975557248,8.96339365261789,9.60997267309467,8.92966991551211,8.4354671001579,9.15205969945687,8.60459659048347,9.04153765526584,9.16950530386912,8.59757051680545,9.22343979617263,8.84419633395052,9.50681808757002,9.21334425786016,8.96949605704876,9.17036460492087,8.90788850418794,9.18065931049366,8.89514714535305,8.95411034135498,9.11060442965709,8.93563995874048
Aamdc,2.63529817883131,2.10811068058198,2.16681847253017,2.141179612355,1.93931739575165,2.3010688289002,2.34257373432078,1.35896151069453,2.2659073869739,1.72124060781018,2.23743749271947,2.46375909823741,2.17319273895937,2.30187610489419,1.80204435549985,2.17049824810913,2.43757458974558,2.57377424750988,2.29422769265212,2.81573859561425,2.60139537235985,1.98167911721378,2.06293772376107,2.22731231941845
Aamp,7.73318474447829,7.67358125765411,7.67842994206189,7.77453952593673,7.66260740228886,7.57184111749066,7.64289722140583,7.85386469081549,7.96755912893797,7.88252383925842,7.7872040214582,7.71372074760373,7.81328128387276,7.67704022154035,8.16745128233438,8.05032293799983,8.12104594315163,8.201004112591,8.09845649282218,7.98702714961615,8.16354779887695,8.12230053443528,8.19879365711697,8.34687146383157
Aar2,4.73300952912658,4.32181408781825,4.69218801398515,4.84311641850232,5.13425081353225,4.77209875419238,3.86657572705719,4.62504145100811,4.71730992142779,4.04194467063749,4.8309981181988,4.7292507660507,5.17152485273516,4.97986306731141,6.23041139924964,6.20393049555183,6.05519434055551,6.05701288599483,6.10743169588287,6.05939533712605,6.16521914944761,6.14614554708522,6.11243321962627,6.09758460143477
Aars2,4.63965496294443,4.43571734141981,5.26609097248066,5.05327694814356,4.68099431412382,5.20169988589467,4.77608289491266,4.35946526362249,4.06783669596346,4.02298121744331,4.89380682960994,5.10002642624358,4.95154261314864,4.93284341449953,4.54210956230819,4.32575411872222,4.52644363633982,4.52714866402155,4.81336810664967,4.55931853752278,4.70567933621433,4.66862216678814,4.48601289433245,4.74833376786843
