Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Hk2,-0.286710735341516,8.73466779087762,-10.3924156982075,3.35398518102789E-13,8.40173287847486E-10,19.9661225417782
Cpt1a,0.141673229356041,8.99785240227473,10.117811238841,7.56271407598625E-13,9.47229938017278E-10,19.1537271592612
Ech1,0.146588944464522,9.41827891456143,9.84820006903159,1.69608303050082E-12,1.36703578003545E-09,18.1983228215878
Aqp7,0.162006199961572,9.14550286630452,9.76459440476297,2.18289146512646E-12,1.36703578003545E-09,18.0597548561925
Acot2,0.234813979369916,9.11491563943389,9.60020626267747,3.59428395316341E-12,1.80073626053487E-09,17.5812951748301
Hmgcs2,0.692500988430765,8.7299495817703,8.66816816115308,6.46378139144181E-11,2.62234163480795E-08,14.7843969723728
Rab11b,0.151596470143071,9.01763178265311,8.58617513758715,8.37474374389764E-11,2.62234163480795E-08,14.4854806926589
Txnip,0.154554143195348,9.42031803776792,8.44785067347676,1.29854620196652E-10,3.61428692880681E-08,13.8561291166907
Higd1a,-0.150535564270986,8.98034098225453,-8.38222069797142,1.60009789094885E-10,4.00824521682688E-08,13.8382392463947
Pcca,-0.0999477560754819,9.05604243664592,-8.05162847384903,4.61190428921565E-10,1.05025638586229E-07,12.7558275994593
Odc1,-0.142237740929954,8.89590738555846,-7.99788052422002,5.48359442200744E-10,1.14470033559405E-07,12.6548424313384
Cbr1,0.29608533757598,8.79070214417907,7.92384494099601,6.96341712295368E-10,1.34179691484607E-07,12.483896662403
Pnpla3,-0.886249223459695,7.61183445031589,-8.58926724678472,8.29322960922531E-11,2.62234163480795E-08,12.4604429812179
Vwa8,0.133377217976119,8.78129103778942,7.81741798727056,9.82551434859455E-10,1.75806524594495E-07,12.1363647436111
Pik3c2g,0.650113807541618,8.61023213817727,7.7213945166434,1.34166305006849E-09,2.24057729361438E-07,11.8235750324651
Penk,0.302730245248568,9.08547610866867,7.57366883956502,2.16986341287738E-09,3.39719240578615E-07,11.2427607056951
Bdh1,-0.393092422295445,8.59792819590875,-7.40885279450132,3.7175544320037E-09,5.41680449017283E-07,10.8766496766693
Scd2,-0.198225073515275,8.47160453499002,-7.38019442637328,4.08323393656911E-09,5.41680449017283E-07,10.7983558509494
Impa2,0.228833545047136,8.75310664794327,7.37830678650427,4.1085543039235E-09,5.41680449017283E-07,10.749183573849
Decr1,0.164024727054952,9.36828639423966,7.28409395563329,5.59530054362766E-09,7.00811393089364E-07,10.1242240436508
Slc2a4,-0.231606802096006,8.96988304720958,-7.15172385714173,8.64396491956143E-09,9.84233278340972E-07,9.8846451148895
Hadha,0.0798921606801426,9.41938773873977,7.20168104623466,7.33446820102142E-09,8.74897278264698E-07,9.8191826581908
Nes,-0.179492017948576,8.56711473032261,-7.04585390314416,1.22495152197586E-08,1.33413198371719E-06,9.71955877069596
Slc6a6,0.224225130566173,8.57265820736876,6.83774235670007,2.43495367198782E-08,2.2590959067887E-06,9.07151708068095
