Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Vat1,0.184213793472967,7.17262295542013,8.28798063228752,1.070034869529E-08,7.14687794771515E-05,9.99260653382076
Ctsz,0.333876880184587,7.09523807468965,7.91662961868619,2.50855666820469E-08,7.14687794771515E-05,9.19020386375109
Gfap,0.208756445009218,8.03706905920813,7.98786108642311,2.12731657642084E-08,7.14687794771515E-05,8.99753350641472
Tyrobp,0.382796669786379,6.94576153965997,7.76850982508746,3.54178784996673E-08,7.5679151884164E-05,8.90089478510093
Gpnmb,0.630475947956829,7.09633979775054,7.49379284916358,6.76632308812505E-08,8.33049394803603E-05,8.24715742523356
Ptpn6,0.362879992522013,6.73943351070335,7.44544734525259,7.59043245475101E-08,8.33049394803603E-05,8.17590849256619
Cd74,0.463771079276287,7.25770357331208,7.46160771413686,7.3041113479607E-08,8.33049394803603E-05,8.07450714971433
Tgfb1,0.34239757889615,6.78863689347132,7.40003904909396,8.4579793132825E-08,8.33049394803603E-05,8.07359882545479
Itgb2,0.409775293003855,6.89205137348866,7.38476724922822,8.77201889930084E-08,8.33049394803603E-05,8.02712857380113
Rassf4,0.347156242701571,6.72899820189684,7.3150416806449,1.03645714430709E-07,8.85859921239266E-05,7.8761460974864
Cmklr1,0.546960525936024,6.47448509620119,7.25397765086193,1.20011615371304E-07,9.32490251435029E-05,7.54576814068917
Myo1f,0.455278442477726,6.59758424320122,6.90438222509266,2.80310730994739E-07,0.00017112970127228,6.88666062628618
Ltbr,0.218809382806917,7.00731154296384,6.91403408302884,2.73766852521566E-07,0.00017112970127228,6.84476431563849
Itgal,0.748790257865609,6.2688001010536,7.07209475410758,1.86242905064153E-07,0.00013265150913194,6.7277750392218
Dnase2,0.259917771965871,6.86890656068668,6.82834518990542,3.37775795881254E-07,0.00019246464849313,6.70158821160352
Ifi30,0.386608829629496,6.78555707732329,6.70524804684161,4.57481096085037E-07,0.00022979744411874,6.44091768728007
Cyba,0.41430669490316,6.62307591958488,6.6824994835315,4.8395390126798E-07,0.00022979744411874,6.38582775335512
Unc93b1,0.358573213874023,6.78100822960914,6.54944384160995,6.7331013072625E-07,0.00030073560455111,6.06474996026414
Irf8,0.475175833921522,6.44793078938965,6.52521379338799,7.15195086641528E-07,0.00030073560455111,5.92520206878916
Syngr2,0.157238081478092,6.87798336896438,6.47513019617008,8.1038089591695E-07,0.00030073560455111,5.82932225087084
Arl11,0.765313094268403,6.13640979751055,6.74936073891223,4.10272822953101E-07,0.00021916261361126,5.80011757507912
Spi1,0.412801008135907,6.55327325803393,6.43062422619394,9.05755798059356E-07,0.00030073560455111,5.77568298243497
Nfkb2,0.266365374047754,6.38979563214474,6.43105819212033,9.04772716079853E-07,0.00030073560455111,5.70883958571894
Fermt3,0.450418782559444,6.50189807058114,6.41060575928278,9.52305949363493E-07,0.00030073560455111,5.70176757031654
RT1-CE15,0.252521104547799,6.58528365528617,6.35995566811046,1.08126013434102E-06,0.00030073560455111,5.62541669547814
Tnfaip8l2,0.296197442694904,6.4233753555571,6.37031695310805,1.05350821638809E-06,0.00030073560455111,5.58814431637612
Axl,0.192784844395654,7.10356147176623,6.42382962729416,9.2129038481013E-07,0.00030073560455111,5.58563677869079
Fcgr2b,0.557778932131407,6.61770751125164,6.3459307385786,1.12001328819259E-06,0.00030073560455111,5.57971894418577
Vim,0.351400101046937,7.43045697358348,6.4578682175187,8.4609681711217E-07,0.00030073560455111,5.51770754173382
Cyth4,0.237492283831864,6.85131905023271,6.33596194435536,1.14841482573716E-06,0.00030073560455111,5.5072595020495
Hcls1,0.472879264822306,6.47553335447151,6.3315760602562,1.16114133031319E-06,0.00030073560455111,5.50054691612179
RT1-Da,0.735119524296178,6.59478981847295,6.30755869362731,1.23341915399589E-06,0.00030635426863338,5.4517791292995
Fcer1g,0.333621690648806,7.04931333947528,6.33324004650098,1.15629615185824E-06,0.00030073560455111,5.41144488680724
