,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435
A2m,386.916666666667,384.016666666667,532.8,344.933333333333,672.333333333333,372.183333333333,318.9,362.116666666667,497.183333333333,428.733333333333,404.616666666667,524.65,481.35,393.566666666667,435.483333333333,379.166666666667,567.433333333333,552.35,631.433333333333,621.9,510.966666666667,469.483333333333,596.016666666667,527.316666666667
Atp6,62504.6,65110.3,74327,63118.5,68361.1,56933.8,64549.4,57011,81078.7,63951.9,111739.9,76612.3,60037.5,77539.9,143330.8,72633.8,66286.7,87600.6,57238.3,66641.6,70042.2,55313.9,57230.4,72177.4
Aadat,51.45,33.5,73.05,42.25,97,19.8,29.8,9.9,79.75,51.5,35.4,61.3,31.85,64.05,65.6,38,61.95,56.3,69.55,88.2,65.45,87.75,54.8,51.8
Aaed1,64.5,121.1,73.7,53.8,124.3,57,35.1,34.3,94.2,101,71.2,201.9,60.8,70.4,54.3,73.7,68.2,105.9,132.4,114,99.2,71.1,161.3,67.7
Aagab,555.4,388.6,730,558.2,631.4,448.6,680.4,471.2,620.5,654.1,544.9,558.5,498,833.9,855.2,601.6,790.9,616.1,564.3,600.9,395.1,499.1,495.8,437.8
Aanat,90.5,51.4,226.7,62.9,131.5,231.7,80.3,65.5,145.9,210.1,109.2,104.4,92.6,414.9,431.8,103.5,259.5,198.4,324.7,322.4,136.8,127.7,184.3,154.6
Aard,67.4,44.1,90.8,113.4,89.5,47.4,55.1,22.3,111.8,111.4,116.5,85,73.1,11.1,44.9,85.9,91.6,90.5,28.6,80.5,74.1,18.5,37.6,17.1
Aatk,369.7,280.7,227.8,250.4,452.3,157.1,247.2,230.2,350.3,212.7,275.9,89,203.8,244.9,32.8,186,199.9,212.1,171.6,135.2,161.2,266.8,331.7,271.7
Abat,82.5,149.35,110.25,76.35,130.65,104.15,22.25,87.15,114.4,113.1,171.25,128.2,104.2,126,105.1,78.15,231.95,70,152.3,198.05,108.1,145.8,213.7,69.35
Abcb11,233.1,247,250.1,156.1,305.4,31.9,60.7,168.4,181.2,229.2,287,72.9,208.1,86.5,194.4,237.5,307.1,263.4,263.7,293.9,254.2,378.2,250.7,197.2
Abcb1a,96.1,120.4,18.6,86.1,50.2,132.8,122.5,183.4,43.4,128.5,176.7,120.2,202.5,28.2,138.7,57.1,116,60.2,155.3,52.4,52.1,133.7,27.4,30.4
Abcb1b,36.4,53.7,34.6,19.4,78,20.1,35.1,30.7,41.7,14.1,27.1,39.3,14.2,14.5,16.5,17.9,42,15.8,38.8,35.5,23.2,33,27.4,13.1
Abcb4,309.5,260.5,488.9,322,994.8,302.3,462.9,286.4,503.2,547.4,397.9,710.2,135.1,460.1,691.6,830.6,328.4,367.2,606.8,468.9,496.8,801.7,1162.7,804.1
Abcb6,1511.9,1374.3,1521.1,1386.2,1291.3,1312.6,1000.9,1518.3,2118.9,1173,1994.2,1824.8,1606.8,1549.1,1271.9,1384.9,1242.2,1855.2,1496.3,1384.8,1368.1,1380.4,1911.5,1345.6
Abcc1,264.35,316.65,451.75,316.25,470.7,400.1,347,389.4,130.95,125.3,130.75,142.25,165.55,115.6,218.4,243.55,182.6,302.9,191.2,262.05,287.95,387.9,241.2,366.75
Abcc2,19.9,55.7,43.5,19.4,96.7,35.6,10.9,22.6,169.2,22.3,177.9,45.6,18.1,88.2,50.5,25.9,28,36.1,126.9,44.6,33.9,24.2,99.4,40.5
Abcc3,969.3,1085.8,488.5,816.4,1143.3,1071.3,1303.1,980.7,889.2,1238.7,705.2,810.4,1012.2,1053,1071.8,1178.1,1043.9,752.5,1080.9,954,961.3,1367.2,2101.7,1387.8
Abcc6,954.4,869,983.6,729.9,1161.4,797,608.5,620.7,1442.5,1116.1,1117.9,1404.2,1137.4,1083.4,1105.2,1358,1105,1281,1274.4,1353.4,868.5,1132.3,1377,1289.2
Abcc8,565.05,578.1,578.65,632.15,305.15,614.65,625.25,547.45,511.5,470.85,390.35,365,477.4,382.55,359.2,438.25,531.95,451.05,403.85,503.8,568.65,482.65,248.85,388
Abcc9,1633.28,2018.66,1882.4,1843.86,1924.56,1357.9,1254.42,2131.54,883.5,1785.9,1044.82,1395.32,1752.36,1113.06,1417,1855.38,1452.5,1418.28,1345.94,1165.92,1412.8,1752.06,1454.76,1625.34
Abcd3,4332.15,3801.6,5763.45,4596.7,4508.4,4337.2,4031.6,4928.5,3978.35,4212.45,15044.25,7188.9,4574.25,4730.6,31450.5,7314.2,2145.8,2502.8,2459.95,2302.1,2255.35,2243.25,2444.4,2663.5
Abhd13,764.5,530.9,786.4,666.6,732.9,516.7,528.5,534.2,547.7,648.4,660.9,620.4,715.1,567.9,629.2,661,707.5,472.2,584.6,566.1,750.6,711.6,681.2,651.5
Abhd14b,1002.7,844.7,971.3,1004.3,807,997.7,1067.7,1022.3,877.5,996.2,738.5,770.1,1031,950.8,904,862.1,985.9,969.4,877.7,1083.9,1943.8,1610.4,961.7,1366.6
Abi2,486.1,635.1,852.45,530.05,717.75,473.15,450.55,525.85,631.1,402.4,638.35,612.75,519.35,596.4,735.35,602.7,647.45,698.3,698.45,698.65,816.1,824.4,872.05,565.2
Abo,506.2,193,371.2,421.2,348.5,470.7,599.9,277.9,653.7,336.7,718.6,368.2,563.4,466.2,317.3,400.6,561.9,851.4,362.7,607.5,683,488.8,434.6,489
Abracl,318.5,441.5,418.1,488.3,322.5,516.2,500.5,265.9,424.3,334.4,470.2,375.5,421.5,371.3,528.8,569.8,227.8,145.9,132.6,321.6,310.3,304.5,562.7,276.9
Abtb2,697.2,632.7,804,731.3,1341,691.9,479.7,454.4,631.1,498.2,515.9,379.5,571.2,377.8,520.1,534.5,573.4,507.7,657.4,333.7,373.7,573.5,363.8,355.7
Acaa1,638,802.3,729.6,781.1,1241.4,610.2,634.1,829.4,646,819.8,443.8,473.1,658.3,638.2,755.9,838.4,687.8,920.1,697.4,683.9,912.8,787,790.7,853.2
Acaa1b,380.9,468.2,506.05,454.05,878.35,391.75,366.9,481.05,426.35,459.45,314.5,318,395.2,389.8,454.05,474.55,464.9,534.1,448.35,433.5,529.25,452.2,565.15,513.75
Acaa2,24213.1,23049.7,19274.9,22991.5,30693.1,27080.9,23745.1,21454.5,24833.4,24329.4,18458.8,24111.5,25121,27012.1,34060.5,40639.6,29196.9,38389.8,30908.8,40958.7,39853.5,31642.4,25770.1,29176.1
Acaca,73.4,96.5,126.7,132.8,397.4,198.8,101.8,109.9,264.4,151.5,111.4,59.3,172,114.1,51.2,205.6,84.4,80.1,329.4,148.5,149.8,183.4,111.9,71.1
Acacb,1284.8,1491,948.6,1193.7,1928.6,1428.9,1121.5,1319.2,918.1,1117.8,643.8,631.8,1099.2,643,1108.9,1382.8,917.1,844.6,939.3,883.5,1511.7,1507.9,1212.9,1663.3
Acadl,15540.45,15111.9,13504.8,14244.25,17766.25,15729.9,15437.3,15132.95,16204.6,17358.85,19235.6,15702.55,17962.5,16198.85,18403.5,21600.35,14148.9,14271.3,13813.6,15854.35,12547.6,14071.35,15178.15,16451.1
Acadm,22408.5,24222.4,21540.3,18212.5,21645,20144.3,18415.3,20791.2,22184,22256.6,22445.7,25746.4,23083.6,28166.4,26283.5,26638.2,17662.9,18780.9,19151.8,20125.4,15327.3,17495.6,19985.7,18269.2
Acads,4957.4,4955.7,3432.8,4149.2,3521.2,3324.8,4124.5,4448.8,5331.7,4787.2,3587.5,2852.1,3431.5,3893,2144.2,3760,5927.4,4394.9,5812.5,7449.4,4109,3542.9,3003.5,3503.5
Acadsb,1597.6,1517.1,1405.8,1235.6,1235.4,674.7,556.7,1032.6,635.4,1337.6,391.9,841,673.4,346.4,449.6,771.6,455,372.7,495.1,234.1,194.3,123.2,81.5,162.8
Acadvl,12035,10482.9,12334.8,12180.5,12140.9,12960.2,14344,14543.6,10703.6,10383.8,7589,9308.7,13383.2,15891.8,12007.8,14222.1,10347.6,10742.2,10110.5,9168,14767.7,13952.3,10910.5,14731.1
Acan,32,60.6,67.7,34.6,104.1,35.7,19.8,39.8,40.8,31.7,41.9,24.3,34.4,33.1,41.2,46.9,48.4,46.5,51,47.7,46.9,31.9,49,38.1
Acap1,69.35,64.5,40.5,45.9,133.65,20.6,32.55,75.1,62.8,41.65,60.1,22.95,52.85,38.1,31.8,34.75,43.2,103.85,61.9,72.25,42.35,27.65,69.15,35
Acat1,7707.7,7450.66666666667,5219.93333333333,7010.93333333333,6804.4,6865.13333333333,8220.8,6591.73333333333,6679.06666666667,7344.26666666667,6583.56666666667,6505.53333333333,6094.9,7488.43333333333,7324.76666666667,8964.96666666667,7161.8,7825.36666666667,6445.1,7015.16666666667,7319.46666666667,7463.76666666667,4397.66666666667,8718.16666666667
Acat2,343.55,526.95,492.85,466.9,468.5,377.25,427.6,410.7,474.75,506.45,461.2,483.3,502.35,451.05,528.35,525.9,588.55,541.6,591.75,424.25,519.1,609.55,417,519.55
Accs,515.3,512.2,569.5,386.8,481.3,351.8,319.2,297.9,503.1,559.8,410.6,440.7,461.7,690.2,510.2,420,406.5,533.6,635.3,408.5,595,409.4,574.1,488.4
Ace,913.7,609.9,539.75,630.7,632.25,494.4,339.35,841.6,637.85,492.9,538.8,619.3,389.45,365.9,448.7,433.95,703.3,753,690.5,796.2,595.7,495.9,559.3,500.5
Ace3,535.4,315.8,356.7,380.2,370.5,455.9,179.9,537.4,341.9,273.2,283.3,341.6,232.6,272.4,197.5,229.2,325,379.5,265.8,451.7,328.5,371.7,190.4,316.1
Ache,163.266666666667,211.766666666667,150.2,165.666666666667,250.2,172.8,195.8,137.7,248.8,195.1,195.533333333333,173.733333333333,203.733333333333,256.533333333333,220.366666666667,177.733333333333,222.4,282.133333333333,261.4,270.8,234.133333333333,238.6,332.666666666667,289.866666666667
Ackr2,207,199.1,235.6,137.6,313.4,246.2,230.6,133.9,299.7,198.8,285.7,225.5,153.4,68.3,151.6,211.4,266.9,280.6,259.5,226.1,182.8,203.7,211.6,200.1
Ackr3,2029.8,1744.7,1864.6,1276.1,2475.2,1371.3,1575.8,1232.2,1958.2,1596.7,2633.7,3601,2081.3,2472,1407.7,2157.2,1807.9,1921.1,2178.3,1965.9,1004.5,1162.6,1277.3,1474.7
Acly,738.366666666667,1096.86666666667,1193.36666666667,1170.1,1286.36666666667,1268.1,1578.73333333333,1235.46666666667,581.766666666667,1148.03333333333,1542.46666666667,1187.6,982.566666666667,631.6,1171.96666666667,1232.5,1031.73333333333,920.166666666667,986.166666666667,1027.66666666667,814.133333333333,960.366666666667,1326.73333333333,1138.4
Aco1,2673.6,2226.9,2459.8,2568.5,2264.1,2614.9,2094.6,2893.8,2295.8,2542.9,2170.7,2138.4,1988.9,1719.9,1870.1,2359.9,2289.6,2450.5,2469.8,2293.1,2391.1,1539.7,1836.2,1767.6
Acot1,1734.05,1491.75,1102.2,1365.75,4704.5,2422.5,3129.5,1762.1,1007.3,1021.2,697.7,849,2731.85,2321.7,2790.4,4467,985.8,1418.25,1159.05,1060.35,6108.45,6604.9,5365.6,7593.65
Acot2,4108,3682.63333333333,2847.26666666667,3328.5,9389,5900.16666666667,6652.5,4249.1,1923.73333333333,2564.7,1414.66666666667,1881.1,6042.4,4951,4030.23333333333,7904.9,2051.43333333333,2835.86666666667,2473.83333333333,2330.83333333333,9479.96666666667,8497.2,8107.9,11671.4
Acot7,1480.06666666667,1906.2,1528.73333333333,1511.23333333333,2554.73333333333,1949.3,2356.33333333333,1749.33333333333,2097.8,1721.2,1758.8,1544,2543.33333333333,2543.63333333333,2546.8,2629.93333333333,1981.6,1830.73333333333,1854.4,1914.66666666667,3534.8,3150.63333333333,2946.63333333333,3324.8
Acox1,5026.43333333333,4842,4853.73333333333,4638.03333333333,4684.1,5341.96666666667,4202.4,4772.43333333333,3925.6,5635.63333333333,4693.03333333333,5335.66666666667,5206.43333333333,4547.56666666667,4682.76666666667,5540.76666666667,4122.03333333333,4851.13333333333,4676.66666666667,4800.63333333333,4731.4,4838.03333333333,4378.3,4864.13333333333
Acox2,30.1,41.3,34.1,44.1,67.6,17.6,25.5,39,25.2,37.6,14.9,78.2,50.3,90.7,113.3,97.9,42.2,29.9,74.3,49.1,47.8,46.8,90.9,60.1
Acox3,37.6,36.2,30.3,76.2,69.9,67.8,98.7,38.2,55.9,125.3,35.9,26.9,41.6,39.7,48.3,100.7,23.2,59.1,52.2,53.7,32.1,42.9,60,43.7
Acp2,632.6,939.2,713.4,730.4,858.3,636.3,730.5,667.1,867.9,810.5,894.7,863,795.9,788.2,729.5,942,683.4,558.1,656.9,944.1,801.9,951.1,967.7,865.9
Acp5,510.1,358.9,305.5,343.9,612.8,316.5,278.5,336.2,413.9,396.7,490.6,603.3,431.4,392,374.2,408.6,447.3,535.3,523.7,507.8,559.7,369,735,479.1
Acpp,21.9,36.9,30,16.8666666666667,70.7,26.2666666666667,8.3,16.1,27.6666666666667,21.5666666666667,22.3333333333333,23.6666666666667,18.6333333333333,28.6333333333333,19.3,21.3,30.8666666666667,31.5333333333333,41.2666666666667,25.0333333333333,28.0333333333333,22.2333333333333,40.7333333333333,28.2666666666667
Acr,443.2,233.3,311.7,356.8,188.8,423.8,323.3,475.3,609.7,350.9,540.7,516.3,511.4,283.2,455.9,418.8,585.3,646.5,688.7,531.5,461.5,399.6,343.4,424.3
Acrv1,330.5,485,245.6,328.6,421.5,376.8,334.1,276.6,795.7,386.2,441,558.5,829.9,328.3,340.3,329.1,511.9,561.3,604.8,530.8,457.1,194.7,385.3,602.8
