Gene,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355,Symbol
Arsj,8,19,8,24,19,22,6,5,13,6,2,4,6,2,7,0,Arsj
Gad1,23,29,20,59.00002,18.00004,70.99996,24,24,42.00001,20,10,12,8,9,18.99999,2,Gad1
Alx4,1.01535,0,0,0,0,8.51883,0,0,5.80543,0,2.33921,0,0,0,1.01119,0,Alx4
Tmco5b,2,1,0,1,0,4,0,0,3,1,0,0,0,1,0,0,Tmco5b
Cbln1,9,5,0,3,14,2,4,0,4,3,5,0,0,0,0,0,Cbln1
Tcf15,115.334,130.047,24.0795,137.473,76.1943,350.421,74.587,38.7321,304.868,70.4141,16,12.7572,20.1225,30.5568,75.2191,20,Tcf15
Steap1,2,1,4,1,3,2,0,2,0,2,1,1,0,0,0,0,Steap1
Hebp1,161,139,65,208,135,323,95,65,359,155,59,52,78,69,95,6,Hebp1
Tmcc2,363,444,84,285,281,1969,235,100,1608,423,40,28,47,75,177,29,Tmcc2
Nuak2,88,74,25,120,57,203,54,42,198,71,34,20,20,32,54,28,Nuak2
Tmed11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Tmed11
Klhdc8a,7,12,7,15,4,36,12,7,15,8,2,1,1,1,8,0,Klhdc8a
Kiaa1614,122.00001,212.99994,59.99991,193.9997,138.000177,863.9991,102,91.99999,669.00014,62,31.00001,22.99996,20.99997,13.99999,118.99997698,8,Kiaa1614
Slc26a1,28,41,3,12.0127,16.0553,100.395,16.1127,10,83.1664,27,9,1,8.02084,6,16,0,Slc26a1
Xpr1,364.00021,376,293.9999,351.00058,421.999800612034,599.0001,279.0003,284.99973,498.9997,510.0004,179.00045,204.99963938,199.00014,293.0004,312.9997,68,Xpr1
Idua,564,682,298,634.987,583.945,1837.6,379.887,311,1645.83,638,189,138,256.979,242,462,112,Idua
Tmem175,392,371,201,375,441,1017,185,158,811,368,105,133,163,165,236,63,Tmem175
Cd82,210,241,84,267,172,890,163,131,722,213,49,53,69,66,161,28,Cd82
Gak,748,729,361,843,756,1547,387,382,1378,748,252,189,234,292,474,61,Gak
Crp,263.943,316.18121,231.026,380.002,347.222,357.599,157.315,284.976,369.209,324.083,207.486,166.02,229.635,257.16,214.853,45.752,Crp
Abhd8,17,26,4,11,11,226,21,5,257,23,0,2,2,4,10,7,Abhd8
Fcrl6,4,0,1,5,7,8,0,1,1,0,3,0,1,6,1,0,Fcrl6
Pcgf3,170,211,59,135,160,454,115,77,353,150,42,33,38,61,116,12,Pcgf3
Atp5me,5928,7775,3628,10504,5631,16378,5555,4249,12689,5889,2025,1718,2432,3033,3552,543,Atp5me
Pde6b,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,Pde6b
Fbxo28,249,260,119,254,212,434,127,131,420,283,74,47,75,77,166,29,Fbxo28
Ppp2r5a,4827,4270,3578,8327,4977,5361,2774,3612,4661,4770,2601,2579,2607,2993,2658,548,Ppp2r5a
Dr1,0,0,0,0,0,26.5081,0,0,105.682,0,0,0,0,0,0,0,Dr1
Tmed5,392,357,371,393,529,383,201,330,371,494,391,437,372,445,297,64,Tmed5
Mtf2,300,293,254,342,416,366,156,244,295,356,169,185,177,235,229,18,Mtf2
Antxr2,909,938,401,793,793,1145,445,398,973,829,263,264,346,444,630,114,Antxr2
Hltf,6057.907,7640.173,5475.208,8852.934,9474.378,6519.79,3279.635,5797.962,5210.439,10635.12,7097.396,6966.443,5471.696,7649.964,3522.748,986.5,Hltf
Smad9,281,329,273,439,497.752,570.65,180,297.777,418.117,408.747,171,221,195,208,290.651,48,Smad9
Gpr89b,343,420,244,426,341,670,198,282,572,359,154,105,113,165,267,59,Gpr89b
Pdzk1,86,120,79,84,83.99996,410,122,115,325,82,34,18,21,47,70,26,Pdzk1
Rnf115,2489,2450,1881,3532,2808,2917,1196,1872,2415,3357,1368,1476,1523,1780,1491,314,Rnf115
Thoc3,249,326,133,302,225,901,222,120,866,309,75,65,81,107,207,12,Thoc3
Cplx2,111,114,48,118,111,351.00001,85,38,283.00049,121,32,19,30,49,68,7,Cplx2
Aga,780,689,456,1142,761,878,499,566,768,756,408,410,426,456,439,84,Aga
Fgf20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fgf20
Coprs,222,208,82,285,110,382,111,77,335,176,27,43,62,68,119,5,Coprs
Champ1,423.921,473.926,261.482,558.708,439.026,815.367,289.792,242.635,657.257,389.592,149.843,196.239,162.619,189.35,260.162,100.531,Champ1
Elac1,110.524,148.595,59.5347,160.148,110.42,225.344,61.9832,62.6834,241.512,132.806,31.5176,30.1183,37.9963,48.3013,98.5623,27.0694,Elac1
Pigv,115.1168,129.002,53.2442,177,117.0003,374.0414,70,98.99999,285.2118,140.0353,37,32.4493,37.2749,80.0492,75,19.0417,Pigv
Ak2,822,925,377,1118,572,2013.66,523,382,1944.64,752,174,154,178,249,422,70,Ak2
Rnf19b,251.99985,243,77,275,173.9997,740,151,93,598.0004,209,29.00000741946,26,47,44.99996,127,43,Rnf19b
Loc103690615,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31265,0,0,LOC103690615
Kpna6,1760.995,1765.999,961,1808.005,1770.995,2547.004,994,1030,2377.997,1815.003,592,503.0003,696,829,999,234.9997,Kpna6
Phf24,47,62,19,40,64,377,20,20,365,57,3,8,3,10,28,3,Phf24
Dnajb5,1095.9962,1031.0008,330.0001,1214.99934,435.00002,1901.002,456.9999,320.00006,1616.0039,603.9999,149,125,142,238,297,27,Dnajb5
Txndc15,748,772,389,1101,728,1465,429,444,1282,739,255,219,320,335,522,139,Txndc15
Ly86,77,78,52,184,67,103,91,36,143,61,55,28,55,39,39,1,Ly86
Glis1,7,5.999999,1,5.00000163325,3,47.00005,0,1,36.99998,0,0,0,0,0,2,0,Glis1
Plxdc2,421,410,261,440,415,685,268,224,638,500,229,155,166,205,296,41,Plxdc2
Pik3r3,268,360,241,329,339,519,145,181,274,368,136,135,133,194,187,14,Pik3r3
