"";"x"
"1";"A3GALT2"
"2";"ABCD3"
"3";"ABHD4"
"4";"ABI3"
"5";"ADAMTS1"
"6";"AEBP1"
"7";"AFG3L1"
"8";"AIF1"
"9";"AKNA"
"10";"ALOX5AP"
"11";"AMPD3"
"12";"ANKRD13A"
"13";"ANXA2"
"14";"ANXA3"
"15";"APBB1IP"
"16";"APOBR"
"17";"APRT"
"18";"ARHGAP17"
"19";"ARHGAP25"
"20";"ARHGAP27"
"21";"ARHGAP30"
"22";"ARHGAP9"
"23";"ARHGDIB"
"24";"ARL11"
"25";"ARPC1B"
"26";"ASPG"
"27";"ATF5"
"28";"ATP2B2"
"29";"AXL"
"30";"B2M"
"31";"BAG3"
"32";"BAK1"
"33";"BAZ1A"
"34";"BLNK"
"35";"C1QA"
"36";"C1QB"
"37";"C1QC"
"38";"C1R"
"39";"C1S"
"40";"C3"
"41";"CAPG"
"42";"CARHSP1"
"43";"CCDC102A"
"44";"CD180"
"45";"CD37"
"46";"CD38"
"47";"CD44"
"48";"CD48"
"49";"CD53"
"50";"CD63"
"51";"CD9"
"52";"CDC42EP1"
"53";"CEBPD"
"54";"CFH"
"55";"CHDH"
"56";"CIB1"
"57";"CLIC1"
"58";"CLIC4"
"59";"CLU"
"60";"CMKLR1"
"61";"CMTM3"
"62";"CNN3"
"63";"CNTNAP4"
"64";"CP"
"65";"CPNE8"
"66";"CSF1"
"67";"CSF1R"
"68";"CSF3R"
"69";"CTDSP1"
"70";"CTNNA1"
"71";"CTSB"
"72";"CTSC"
"73";"CTSD"
"74";"CTSH"
"75";"CTSZ"
"76";"CTTNBP2NL"
"77";"CX3CR1"
"78";"CXCL16"
"79";"CYBA"
"80";"CYTH4"
"81";"DAP"
"82";"DDX54"
"83";"DNAJC9"
"84";"DNASE2"
"85";"DOCK8"
"86";"DSE"
"87";"EEF1D"
"88";"EHD2"
"89";"EIF2AK2"
"90";"EIF4EBP1"
"91";"ELF1"
"92";"ELFN1"
"93";"EMILIN1"
"94";"EVA1B"
"95";"EVC2"
"96";"EXO5"
"97";"FCER1G"
"98";"FCGR2B"
"99";"FCGR3A"
"100";"FCRL2"
"101";"FERMT3"
"102";"FGD2"
"103";"FGD3"
"104";"FGL2"
"105";"FGR"
"106";"FKBP10"
"107";"FLI1"
"108";"FLNC"
"109";"FRMD8"
"110";"FUCA1"
"111";"FXYD5"
"112";"GADD45G"
"113";"GBP2"
"114";"GFAP"
"115";"GGA3"
"116";"GJD2"
"117";"GLIPR1"
"118";"GMFG"
"119";"GNA15"
"120";"GNAI2"
"121";"GNB4"
"122";"GPNMB"
"123";"GPR84"
"124";"GPRASP1"
"125";"GPX1"
"126";"GRN"
"127";"GSDMD"
"128";"GTF3A"
"129";"GUSB"
"130";"HAVCR2"
"131";"HBEGF"
"132";"HCK"
"133";"HCLS1"
"134";"HMOX1"
"135";"HNRNPF"
"136";"HOPX"
"137";"HSPA2"
"138";"HSPB1"
"139";"HSPB8"
"140";"ICAM1"
"141";"ID3"
"142";"IER5L"
"143";"IFI30"
"144";"IFI44"
"145";"IFI47"
"146";"IFITM2"
"147";"IFITM3"
"148";"IFNGR1"
"149";"IGTP"
"150";"IKZF1"
"151";"IL10RB"
"152";"IL17RA"
"153";"INPP5D"
"154";"INPPL1"
"155";"IRAK4"
"156";"IRF2"
"157";"IRF5"
"158";"IRF8"
"159";"IRF9"
"160";"IRGM"
"161";"ITGA6"
"162";"ITGAL"
"163";"ITGAM"
"164";"ITGB2"
"165";"KCNC2"
"166";"KLHL6"
"167";"LAP3"
"168";"LAPTM5"
"169";"LAT2"
"170";"LCP1"
"171";"LCP2"
"172";"LGALS1"
"173";"LGALS3BP"
"174";"LGMN"
"175";"LHFPL2"
"176";"LIMD1"
"177";"LIMS1"
"178";"LITAF"
"179";"LRG1"
"180";"LRRK1"
"181";"LTBR"
"182";"LYL1"
"183";"LYN"
"184";"LYZ2"
"185";"MAP3K11"
"186";"MAP4K1"
"187";"MAPKAPK2"
"188";"MAPKAPK3"
"189";"MCM2"
"190";"MCM3"
"191";"MCM7"
"192";"MGST1"
"193";"MID1IP1"
"194";"MMP19"
"195";"MOB3A"
"196";"MSN"
"197";"MUC1"
"198";"MVP"
"199";"MX2"
"200";"MXRA8"
"201";"MYD88"
"202";"MYL12A"
"203";"MYO1F"
"204";"NAAA"
"205";"NCF1"
"206";"NCF2"
"207";"NCKAP1L"
"208";"NECAP2"
"209";"NEK6"
"210";"NFE2L2"
"211";"NFKB2"
"212";"NINJ1"
"213";"NLRP3"
"214";"NOD1"
"215";"NOTCH1"
"216";"NPC2"
"217";"NPEPL1"
"218";"NPL"
"219";"NR1H3"
"220";"OASL2"
"221";"OSTF1"
"222";"P2RY6"
