"title","geo_accession","Sample","Group"
"RNA-seq Sham, 1-day rep1","GSM5283787","Sham.1.rep1","HC"
"RNA-seq Sham, 1-day rep2","GSM5283788","Sham.1.rep2","HC"
"RNA-seq Sham, 14-day rep 1","GSM5283789","Sham.14.rep1","HC"
"RNA-seq Sham, 14-day rep 2","GSM5283790","Sham.14.rep2","HC"
"RNA-seq Sham, 14-day rep 3","GSM5283791","Sham.14.rep3","HC"
"RNA-seq Sham, 14-day rep 4","GSM5283792","Sham.14.rep4","HC"
"RNA-seq TBI, 1-day rep 1","GSM5283793","TBI.1.rep1","TBI"
"RNA-seq TBI, 1-day rep 2","GSM5283794","TBI.1.rep2","TBI"
"RNA-seq TBI, 1-day rep 3","GSM5283795","TBI.1.rep3","TBI"
"RNA-seq TBI, 1-day rep 4","GSM5283796","TBI.1.rep4","TBI"
"RNA-seq TBI, 14-day rep 1","GSM5283797","TBI.14.rep1","TBI"
"RNA-seq TBI, 14-day rep 2","GSM5283798","TBI.14.rep2","TBI"
"RNA-seq TBI, 14-day rep 3","GSM5283799","TBI.14.rep3","TBI"
"RNA-seq TBI, 14-day rep 4","GSM5283800","TBI.14.rep4","TBI"
