"title","Sample","tissue:ch1","Group"
"RatID_1_HIP_SHM_mRNA","GSM2114177","dorsal hippocampus","HC"
"RatID_2_HIP_SHM_mRNA","GSM2114178","dorsal hippocampus","HC"
"RatID_3_HIP_SHM_mRNA","GSM2114179","dorsal hippocampus","HC"
"RatID_4_HIP_SHM_mRNA","GSM2114180","dorsal hippocampus","HC"
"RatID_5_HIP_SHM_mRNA","GSM2114181","dorsal hippocampus","HC"
"RatID_6_HIP_TRM_mRNA","GSM2114182","dorsal hippocampus","TBI"
"RatID_7_HIP_TRM_mRNA","GSM2114183","dorsal hippocampus","TBI"
"RatID_8_HIP_TRM_mRNA","GSM2114184","dorsal hippocampus","TBI"
"RatID_9_HIP_TRM_mRNA","GSM2114185","dorsal hippocampus","TBI"
"RatID_10_HIP_TRM_mRNA","GSM2114186","dorsal hippocampus","TBI"
