"","MM_MEblack","MM_MEred","MM_MEgreen","MM_MEturquoise","MM_MEyellow","MM_MEblue","MM_MEbrown","MM_MEmagenta","MM_MEpink","MM_MEgrey"
"ATP6",0.53639774859287,0.277673545966229,0.21031894934334,0.623452157598499,-0.583114446529081,-0.341275797373358,-0.790056285178236,-0.471294559099437,0.364352720450281,0.622701688555347
"AAGAB",-0.320450281425891,-0.454033771106942,-0.458161350844278,-0.293996247654784,0.29343339587242,0.565478424015009,0.200750469043152,0.409943714821764,0.328705440900563,-0.418761726078799
"ABCB1A",0.0615384615384615,0.101688555347092,0.240712945590994,0.419887429643527,-0.219699812382739,-0.299812382739212,-0.257786116322702,0.0844277673545966,0.0666041275797373,-0.0677298311444653
"ABCB6",-0.206003752345216,-0.441838649155722,-0.564727954971857,-0.405065666041276,0.205816135084428,0.575422138836773,0.241275797373358,0.310881801125704,0.305816135084428,-0.144465290806754
"ABCC1",-0.294934333958724,0.190243902439024,-0.0330206378986867,-0.428330206378987,0.553658536585366,0.026078799249531,0.653095684803002,0.151594746716698,-0.673358348968105,-0.389118198874296
"ABCC3",0.0150093808630394,0.14859287054409,-0.484990619136961,-0.621763602251407,0.791932457786116,0.375797373358349,0.375984990619137,-0.0345215759849906,-0.379174484052533,-0.331144465290807
"ABCC8",-0.621013133208255,-0.437523452157598,-0.219699812382739,-0.440900562851782,0.421951219512195,0.481238273921201,0.776735459662289,0.617260787992495,-0.115759849906191,-0.687617260787992
"ABCC9",0.0553470919324578,0.279924953095685,0.616885553470919,0.313320825515947,-0.293996247654784,-0.571294559099437,-0.164915572232645,-0.344652908067542,-0.245215759849906,0.221388367729831
"ABCD3",0.373545966228893,0.264915572232645,0.68874296435272,0.895497185741088,-0.603377110694184,-0.685553470919325,-0.726641651031895,-0.106754221388368,0.29155722326454,0.1046904315197
"ABHD13",0.44953095684803,0.432082551594747,0.33639774859287,0.34484052532833,-0.344652908067542,-0.513883677298311,-0.435834896810506,-0.566228893058161,-0.120262664165103,0.515384615384615
"ABHD14B",0.0217636022514071,0.0624765478424015,-0.571294559099437,-0.545403377110694,0.731332082551595,0.44202626641651,0.431707317073171,-0.0787992495309568,-0.258536585365854,-0.234521575984991
"ABI2",0.44577861163227,0.394746716697936,0.00619136960600375,0.183864915572233,-0.317448405253283,-0.337148217636022,-0.403189493433396,-0.617636022514071,-0.107129455909944,0.814446529080675
"ABRACL",0.430581613508443,0.0358348968105066,0.385178236397749,0.508255159474672,-0.268480300187617,-0.449906191369606,-0.412007504690431,-0.0465290806754221,0.291181988742964,-0.0166979362101313
"ABTB2",-0.566041275797373,-0.327579737335835,-0.0105065666041276,-0.292870544090056,0.203001876172608,0.245590994371482,0.519324577861163,0.515759849906191,-0.118011257035647,-0.534146341463415
"ACAA2",0.0416510318949343,0.296060037523452,-0.608067542213884,-0.565478424015009,0.612007504690431,0.449906191369606,0.239399624765478,-0.266979362101313,-0.375234521575985,0.0613508442776735
"ACACA",-0.049343339587242,0.0444652908067542,-0.0474671669793621,-0.213133208255159,0.182926829268293,0.0705440900562852,0.109943714821764,-0.135272045028143,-0.183489681050657,-0.0198874296435272
"ACACB",-0.193245778611632,0.227767354596623,-0.177861163227017,-0.602063789868668,0.753658536585366,0.194559099437148,0.648405253283302,0.048968105065666,-0.6906191369606,-0.478424015009381
"ACADL",0.581425891181989,0.470356472795497,0.288367729831144,0.541275797373358,-0.266228893058161,-0.409943714821764,-0.759474671669794,-0.454033771106942,0.109193245778612,0.319512195121951
"ACADM",0.281801125703565,0.131894934333959,0.347467166979362,0.55140712945591,-0.426078799249531,-0.306191369606004,-0.64953095684803,-0.163977485928705,0.35140712945591,0.177861163227017
"ACADS",-0.676172607879925,-0.515572232645403,-0.569043151969981,-0.717448405253283,0.409193245778612,0.85703564727955,0.681988742964353,0.449718574108818,0.00975609756097561,-0.388555347091932
"ACADSB",-0.25984990619137,-0.133208255159475,0.871669793621013,0.615759849906191,-0.673358348968105,-0.548968105065666,-0.214821763602251,0.199624765478424,0.146153846153846,-0.075046904315197
"ACADVL",0.0641651031894934,0.306941838649156,-0.326829268292683,-0.44108818011257,0.857223264540338,0.275609756097561,0.41125703564728,0.00337711069418386,-0.423264540337711,-0.50750469043152
"ACAT1",0.166604127579737,0.116510318949343,-0.340712945590994,-0.248030018761726,0.436397748592871,0.362851782363977,0.132082551594747,-0.188555347091932,0.0288930581613508,-0.139587242026266
"ACE",-0.677485928705441,-0.442401500938086,-0.483864915572233,-0.68968105065666,0.30281425891182,0.712757973733583,0.722701688555347,0.409568480300188,-0.0722326454033771,-0.272795497185741
"ACHE",0.273733583489681,0.420262664165103,-0.442589118198874,-0.287992495309568,0.224765478424015,0.151219512195122,-0.130206378986867,-0.465666041275797,-0.378799249530957,0.534521575984991
"ACKR3",-0.303939962476548,-0.49437148217636,-0.272795497185741,-0.182739212007505,-0.073733583489681,0.459474671669794,0.00844277673545966,0.382363977485929,0.375234521575985,-0.140337711069418
"ACLY",-0.170544090056285,-0.0697936210131332,-0.0909943714821763,-0.120075046904315,0.314634146341463,0.00825515947467167,0.226266416510319,0.355722326454034,-0.147842401500938,-0.489868667917448
"ACO1",-0.689868667917448,-0.271857410881801,-0.0656660412757974,-0.229831144465291,0.0797373358348968,0.281801125703565,0.493621013133208,0.418949343339587,-0.109756097560976,-0.35234521575985
"ACOT2",0.50375234521576,0.883864915572233,0.185928705440901,-0.00112570356472795,0.371669793621013,-0.469418386491557,-0.115947467166979,-0.580675422138837,-0.774671669793621,0.202251407129456
"ACOT7",0.268292682926829,0.412007504690431,-0.610881801125703,-0.561163227016885,0.828517823639775,0.35422138836773,0.210506566604128,-0.258161350844278,-0.48874296435272,-0.105253283302064
"ACOX1",0.323639774859287,0.395684803001876,0.242213883677298,0.34671669793621,-0.211444652908068,-0.310694183864916,-0.439399624765478,-0.417260787992495,-0.098874296435272,0.30750469043152
"ACOX3",-0.189868667917448,0.0050656660412758,-0.168292682926829,-0.231894934333959,0.344277673545966,0.151782363977486,0.187242026266417,0.116510318949343,-0.164165103189493,-0.268855534709193
"ACP2",0.214821763602251,0.0202626641651032,-0.36172607879925,-0.284052532833021,0.233958724202627,0.259662288930582,-0.0183864915572233,-0.0939962476547842,-0.0545966228893058,0.0474671669793621
"ACSL1",0.525891181988743,0.445966228893058,0.262476547842401,0.572045028142589,-0.34577861163227,-0.563414634146341,-0.527204502814259,-0.391181988742964,0.0324577861163227,0.445966228893058
"ACSL3",0.116885553470919,0.119324577861163,0.761726078799249,0.551594746716698,-0.562101313320825,-0.741838649155722,-0.229455909943715,-0.0514071294559099,-0.0530956848030019,0.200562851782364
"ACSL4",0.435459662288931,0.402251407129456,0.678611632270169,0.736210131332082,-0.54859287054409,-0.844090056285178,-0.594559099437148,-0.316697936210131,0.00975609756097561,0.34296435272045
"ACSL5",-0.0559099437148218,-0.328142589118199,0.23921200750469,0.142776735459662,-0.3046904315197,-0.073733583489681,-0.0690431519699812,0.175984990619137,0.372232645403377,-0.118386491557223
"ACSL6",-0.44015009380863,-0.668480300187617,0.0893058161350844,0.215384615384615,-0.668855534709193,0.187429643527204,-0.111819887429644,0.34577861163227,0.650656660412758,0.145215759849906
"ACTA1",-0.596435272045028,-0.708818011257036,-0.179737335834897,-0.227016885553471,0.0448405253283302,0.479737335834897,0.395497185741088,0.743714821763602,0.333771106941839,-0.612382739212007
"ACTA2",-0.109005628517824,-0.328517823639775,-0.697560975609756,-0.45797373358349,0.444277673545966,0.741463414634146,0.286491557223264,0.265103189493433,0.25891181988743,-0.327204502814259
"ACTB",-0.690994371482176,-0.689493433395872,-0.288367729831144,-0.564540337711069,0.223452157598499,0.60281425891182,0.658724202626642,0.676360225140713,0.098686679174484,-0.520450281425891
"ACTC1",-0.108067542213884,-0.45703564727955,-0.690994371482176,-0.38874296435272,0.327204502814259,0.718949343339587,0.195497185741088,0.261350844277673,0.444277673545966,-0.273733583489681
"ACTN2",-0.382926829268293,-0.317823639774859,-0.640525328330206,-0.664915572232645,0.576547842401501,0.79437148217636,0.614071294559099,0.213883677298311,-0.00581613508442777,-0.379924953095685
"ACTN4",-0.322701688555347,-0.14390243902439,-0.673358348968105,-0.857786116322702,0.681425891181989,0.601125703564728,0.695872420262664,0.0183864915572233,-0.396810506566604,-0.14765478424015
"ACVR1",-0.208630393996248,-0.0457786116322702,0.141651031894934,-0.174484052532833,0.135834896810507,-0.0544090056285178,0.335834896810507,0.163039399624765,-0.288180112570356,-0.232457786116323
