"","MM_MEblack","MM_MEblue","MM_MEbrown","MM_MEpink","MM_MEred","MM_MEyellow","MM_MEgreen","MM_MEturquoise","MM_MEgrey"
"A3GALT2",-0.600869565217391,-0.711304347826087,-0.218260869565217,0.0982608695652174,-0.174782608695652,0.793913043478261,-0.371304347826087,0.338260869565217,0.387826086956522
"AAAS",-0.410434782608696,-0.405217391304348,0.0330434782608696,-0.202608695652174,-0.368695652173913,0.332173913043478,-0.352173913043478,0.31304347826087,0.205217391304348
"AACS",0.293913043478261,0.483478260869565,0.717391304347826,0.11304347826087,0.461739130434783,-0.504347826086956,-0.326086956521739,-0.514782608695652,-0.693913043478261
"AADAT",-0.652173913043478,-0.836521739130435,-0.413043478260869,0.193913043478261,-0.244347826086956,0.821739130434783,-0.337391304347826,0.457391304347826,0.563478260869565
"AAGAB",0.334782608695652,0.321739130434783,0.0695652173913043,0.0817391304347826,0.34,-0.253913043478261,0.198260869565217,-0.192173913043478,-0.208695652173913
"AAK1",0.461739130434783,0.449565217391304,-0.332173913043478,-0.285217391304348,0.00608695652173913,-0.466086956521739,0.870434782608696,0.113913043478261,0.134782608695652
"AAMDC",0.0565217391304348,-0.0826086956521739,0.189565217391304,0.605217391304348,0.419130434782609,0.221739130434783,-0.373043478260869,-0.369565217391304,-0.243478260869565
"AAMP",-0.591304347826087,-0.370434782608696,-0.174782608695652,-0.0956521739130435,-0.481739130434783,0.362608695652174,0.0173913043478261,0.392173913043478,0.248695652173913
"AAR2",0.541739130434783,0.611304347826087,0.391304347826087,0.237391304347826,0.307826086956522,-0.358260869565217,0.16,-0.532173913043478,-0.513043478260869
"AARS2",0.306086956521739,0.370434782608696,0.72695652173913,0.423478260869565,0.507826086956522,-0.307826086956522,-0.522608695652174,-0.655652173913043,-0.716521739130435
"AARSD1",0.195652173913043,0.423478260869565,0.734782608695652,0.265217391304348,0.353913043478261,-0.404347826086956,-0.367826086956522,-0.470434782608696,-0.682608695652174
"AASDHPPT",-0.417391304347826,-0.42,-0.786086956521739,-0.584347826086956,-0.513913043478261,0.109565217391304,0.569565217391304,0.860869565217391,0.813043478260869
"AASS",-0.0426086956521739,-0.15304347826087,-0.428695652173913,-0.286086956521739,-0.0339130434782609,-0.257391304347826,0.30695652173913,0.354782608695652,0.332173913043478
"AATF",-0.439130434782609,-0.569565217391304,-0.682608695652174,-0.320869565217391,-0.473913043478261,0.458260869565217,0.286086956521739,0.736521739130435,0.736521739130435
"AATK",0.482608695652174,0.569565217391304,0.888695652173913,0.539130434782609,0.631304347826087,-0.268695652173913,-0.46695652173913,-0.796521739130435,-0.805217391304348
"ABAT",0.211304347826087,0.238260869565217,-0.148695652173913,0.0252173913043478,-0.0182608695652174,-0.192173913043478,0.397391304347826,-0.0930434782608696,0.0521739130434783
"ABCA1",0.267826086956522,0.0982608695652174,0.28695652173913,0.733913043478261,0.508695652173913,0.421739130434783,-0.265217391304348,-0.508695652173913,-0.38695652173913
"ABCA17",0.285217391304348,0.472173913043478,0.656521739130435,0.151304347826087,0.366086956521739,-0.388695652173913,-0.27304347826087,-0.433913043478261,-0.589565217391304
"ABCA2",0.645217391304348,0.639130434782609,0.882608695652174,0.702608695652174,0.811304347826087,-0.222608695652174,-0.481739130434783,-0.928695652173913,-0.918260869565217
"ABCA5",0.701739130434783,0.727826086956522,0.345217391304348,-0.0808695652173913,0.390434782608696,-0.684347826086956,0.24,-0.481739130434783,-0.458260869565217
"ABCA7",0.285217391304348,0.372173913043478,0.717391304347826,0.256521739130435,0.284347826086956,-0.225217391304348,-0.442608695652174,-0.522608695652174,-0.584347826086956
"ABCA8A",0.435652173913043,0.198260869565217,0.320869565217391,0.438260869565217,0.598260869565217,0.0773913043478261,-0.384347826086956,-0.415652173913043,-0.344347826086956
"ABCB10",0.237391304347826,0.048695652173913,-0.171304347826087,-0.131304347826087,0.0321739130434783,-0.0565217391304348,0.278260869565217,-0.0834782608695652,0.10695652173913
"ABCB1A",0.150434782608696,-0.121739130434783,-0.0582608695652174,-0.0669565217391304,0.0826086956521739,-0.0878260869565217,-0.107826086956522,0.0443478260869565,0.12
"ABCB6",0.403478260869565,0.407826086956522,0.731304347826087,0.348695652173913,0.426086956521739,-0.180869565217391,-0.565217391304348,-0.661739130434783,-0.725217391304348
"ABCB7",0.446086956521739,0.319130434782609,-0.0191304347826087,0.00260869565217391,0.386086956521739,-0.331304347826087,0.233913043478261,-0.228695652173913,-0.113913043478261
"ABCB8",0.465217391304348,0.543478260869565,0.875652173913043,0.493913043478261,0.501739130434782,-0.303478260869565,-0.48695652173913,-0.746086956521739,-0.835652173913043
"ABCB9",0.463478260869565,0.684347826086956,0.913043478260869,0.451304347826087,0.568695652173913,-0.433043478260869,-0.381739130434783,-0.766086956521739,-0.893043478260869
"ABCC1",0.547826086956522,0.308695652173913,0.473913043478261,0.285217391304348,0.28695652173913,-0.0217391304347826,-0.26,-0.573043478260869,-0.46
"ABCC10",0.292173913043478,0.23304347826087,0.72695652173913,0.346086956521739,0.302608695652174,-0.0460869565217391,-0.653043478260869,-0.630434782608696,-0.610434782608696
"ABCC3",-0.17304347826087,-0.205217391304348,0.233913043478261,0.474782608695652,-0.00695652173913043,0.650434782608696,-0.453913043478261,-0.248695652173913,-0.165217391304348
"ABCC4",0.500869565217391,0.177391304347826,0.344347826086956,0.410434782608696,0.306086956521739,0.0365217391304348,-0.26695652173913,-0.517391304347826,-0.324347826086956
"ABCC5",0.699130434782609,0.751304347826087,0.826086956521739,0.353043478260869,0.610434782608696,-0.46,-0.264347826086957,-0.788695652173913,-0.853913043478261
"ABCC6",0.655652173913043,0.582608695652174,0.736521739130435,0.391304347826087,0.593913043478261,-0.382608695652174,-0.26,-0.692173913043478,-0.7
"ABCC8",0.446086956521739,0.479130434782609,0.810434782608696,0.336521739130435,0.482608695652174,-0.383478260869565,-0.556521739130435,-0.780869565217391,-0.805217391304348
"ABCC9",0.484347826086956,0.0808695652173913,0.3,0.324347826086956,0.301739130434783,0.194782608695652,-0.373043478260869,-0.469565217391304,-0.291304347826087
"ABCD2",0.282608695652174,0.502608695652174,0.0591304347826087,-0.243478260869565,0.293913043478261,-0.739130434782609,0.386086956521739,-0.0556521739130435,-0.138260869565217
