"","GSM107412","GSM107413","GSM107414","GSM107415","GSM107416","GSM107417","GSM107418","GSM107419","GSM107420","GSM107421","GSM107422","GSM107423","GSM107424","GSM107425","GSM107426","GSM107427","GSM107428","GSM107429","GSM107430","GSM107431","GSM107432","GSM107433","GSM107434","GSM107435"
"ATP6",12.6606701128838,12.7251137414877,12.8729482108074,12.6757337206972,12.7789002695614,12.548314562469,12.7321294640115,12.5485006991234,13.0713571627732,12.7543846264251,13.5548925029725,13.0143516434093,12.649431661313,13.119203307331,13.9741460616358,12.9205444784052,12.8271533141335,13.2503568885319,12.6164722544704,12.8994677237729,12.9555170858522,12.5741925733951,12.607410248753,12.9789447469507
"AAGAB",5.85172849908262,5.34429090374801,6.20727768847618,5.85991639612245,6.02516384346677,5.56712827790473,6.16853900061782,5.63596229705703,6.04628879016945,6.14740342872729,5.88022148667749,5.91958845412542,5.74163560196558,6.58349562548949,6.58849235694696,6.00964887790087,6.44161420628499,6.10322549463818,5.95706512941867,6.11078191931348,5.49254263514862,5.78761578758939,5.76222477127075,5.62011470271102
"ABCB1A",3.34633267298882,3.6708008343233,1.06543931750356,3.19229898312438,2.42664681795844,3.8264760659374,3.71450390561837,4.28440173999287,2.26990785356765,3.81750337366934,4.2664974403495,3.72209062632732,4.45187245831716,1.78722517580006,3.98080394965478,2.65773724453326,3.69292123157696,2.78909495094454,4.10879079186089,2.6376692346275,2.6144749636109,3.90259850762278,1.6795270843032,1.85436525879267
"ABCB6",7.29307956642429,7.16112640833438,7.26423263338954,7.16899426672534,7.05491837140006,7.11172783944841,6.72399605334581,7.31968618697039,7.81476801373581,6.98808030271524,7.7481240763335,7.62412623180873,7.42759001037804,7.47548097523016,7.16008423034732,7.20982027527418,7.09164340412017,7.69053777817329,7.36080738963069,7.31271189624733,7.27950314064742,7.25170082558797,7.70484786363448,7.23574633845331
"ABCC1",4.78657039570723,5.05063328259721,5.51749715201263,5.04429254936692,5.60304756956655,5.40285458959714,5.20124152194592,5.36218940751699,3.81936781380791,3.78168491480492,3.8376765467602,3.96142308261616,4.16438722283928,3.75278215375867,4.6285995879245,4.71214430455127,4.33868143202328,5.08357469057659,4.40542548767369,4.91930904947745,5.03871244276355,5.42558545367433,4.72873480034911,5.36586472072913
"ABCC3",6.65284212489406,6.82176532223846,5.62982003235096,6.40671514159987,6.87960104979059,6.81916965657385,7.10396328563962,6.69018034747933,6.56394215057503,7.06657411200682,6.25106122721467,6.45506671878146,6.7619552873091,6.91937955987685,6.91354079642533,6.97686935872745,6.84116271192643,6.39093194483097,6.89236826719839,6.77597892583735,6.77123531585184,7.23785845995434,7.84156444968552,7.28023362692779
"ABCC8",5.8764878405445,5.9148113528061,5.8731731847378,6.03877436554351,4.98122695486537,6.01968977294644,6.04697049143958,5.85147822784445,5.76859474278148,5.67486701927528,5.4010881830068,5.30865006645311,5.68093932252262,5.46309227649852,5.34147536482593,5.55439724726605,5.87115102896996,5.65500348665403,5.47641077988705,5.85737558822753,6.01575503334959,5.73945622265232,4.77342050294838,5.44671111699088
"ABCC9",7.40434154241786,7.71513330218557,7.57130233629423,7.58005122075349,7.62985265635371,7.16060269022748,7.04912372032106,7.80856499680273,6.55468555348074,7.5936872151056,6.81688281110305,7.23746925755266,7.55254870310105,6.99926678027593,7.31571595839764,7.63122011317087,7.31695378049869,7.30356935005267,7.20823347878819,7.0648704244059,7.32582333865499,7.59523348191313,7.31139195926235,7.50788293457861
"ABCD3",8.81050794702534,8.62764749453995,9.18455974268367,8.89694649831537,8.857038961589,8.83449482076037,8.73183647115665,9.01702966889201,8.7229766882248,8.83076732634801,10.6621983226102,9.60098165413672,8.93576195065244,9.08489762169033,11.7860210349221,9.60903374662909,7.87930062898895,8.1221162918878,8.07729521730622,8.04520474053328,7.99989274170337,7.95141935394423,8.05929789938327,8.21979822526617
"ABHD13",6.31124345986102,5.79239085569813,6.31434251186226,6.11508415114364,6.23956416070595,5.77016033777741,5.80530202018066,5.81626464945557,5.86686911120287,6.13481489074529,6.15773454098312,6.07071691058783,6.261868392684,6.03077695903587,6.14690999001159,6.14506055464806,6.28127095929297,5.72083755949082,6.00787868474743,6.02499065844142,6.41509223282539,6.29767040134397,6.21898387514815,6.19153142913445
"ABHD14B",6.70161399573003,6.46030271394844,6.61825169234761,6.7048710571559,6.37813832554813,6.71668834365511,6.81702039589737,6.74999257625792,6.54487717470379,6.75281951653952,6.31744246214464,6.38166391362651,6.78845296391618,6.7723642003762,6.66837873618868,6.52723958908886,6.75885205707782,6.75550264973692,6.59254123993689,6.95980912428233,7.78561599085668,7.47374190865722,6.71527357160757,7.2580560378638
"ABI2",5.66022234462887,6.05001311685159,6.43039143952891,5.7855472137669,6.20951613433554,5.64365573091361,5.57604806666676,5.79362367792153,6.07064712491254,5.4492654289692,6.1078041401092,6.05287459341493,5.80195791823366,6.10119287440995,6.37118843287783,6.01227556193786,6.15368057606434,6.28337507797403,6.26379735099186,6.32759684228571,6.53550122792928,6.50940712198279,6.5744018887786,5.98717758547023
"ABRACL",5.05349653076557,5.52750048179672,5.40636716012609,5.66766873373529,5.06047749213745,5.76876911764248,5.72707985307348,4.81532937421825,5.50011764377321,5.18365735737222,5.66834349354333,5.34934697635905,5.50207749092481,5.42024296282934,5.8969469172434,5.93156941563768,4.65470803356494,4.03955324109493,3.88389764111807,5.21282912821873,5.14587587661941,5.07832428928086,5.94415075068953,4.96287901230787
"ABTB2",6.17867769084413,6.04456875523648,6.34618910317287,6.24832900717607,7.10931667009701,6.18995265703371,5.66609689745352,5.58381690273679,6.07064712491254,5.75599012318139,5.80161834670849,5.36455350938101,5.938740450843,5.44515533310767,5.8731011183605,5.83964036818323,5.97901797369395,5.82500321377108,6.17666478354467,5.26580917333992,5.41260104978346,5.98734947405704,5.31769053235544,5.32196310293439
"ACAA2",11.2925715329368,11.2270597803079,10.9259036674329,11.2188543843958,11.623693353591,11.476362113429,11.2894341918324,11.1386267436722,11.3643978724596,11.360171479056,10.9572593858881,11.346578893886,11.3925289627049,11.5979356458267,11.9010309438187,12.0828212143253,11.6443034684538,12.0601801108512,11.7275512801665,12.1972401449267,12.1420287870687,11.7684477044938,11.4563875608146,11.6722414213401
"ACACA",2.96700637965735,3.35760427827389,3.70071050171732,3.80544908421304,5.36001181479175,4.40123916651563,3.45227113552011,3.55623861107544,4.82190672359749,4.05169860821094,3.61038989140802,2.72677007696876,4.21887793477867,3.73424294500234,2.57634298396319,4.4699559313965,3.24309108071373,3.18990680223587,5.1840104662098,4.10777088788568,4.10463490234112,4.35294383445952,3.63421066343135,3.03002723690664
"ACACB",7.05861127112257,7.27853953747081,6.58421038549876,6.95364776838242,7.63287466969682,7.23402234494498,6.88781129614404,7.11718652669835,6.60998198178241,6.91866039776811,6.12003087094496,6.09690263525738,6.88068789475473,6.20940285515089,6.96254799497318,7.20763416900664,6.65470530209933,6.55710425848575,6.6901878918758,6.66544632533103,7.42331106801693,7.37898256480498,7.04946196209639,7.54115078109322
"ACADL",10.6528812330162,10.6180650443354,10.4127208965673,10.528213613826,10.8349899253334,10.6926747253539,10.668291701366,10.6350973644621,10.7485823228137,10.873189638573,11.0167231304183,10.7279203331949,10.90866934609,10.860288240157,11.0129807082598,11.1710529191173,10.5992815392222,10.6326969497613,10.5657365314624,10.828053856017,10.4748836008644,10.599460785537,10.6927626474999,10.8457121654924
