"","GSM3574340","GSM3574341","GSM3574342","GSM3574343","GSM3574344","GSM3574345","GSM3574346","GSM3574347","GSM3574348","GSM3574349","GSM3574350","GSM3574351","GSM3574352","GSM3574353","GSM3574354","GSM3574355"
"ATP6",15.3808780973176,15.3690994251009,16.5828785084638,15.9981041453291,16.0242492228249,14.765891707736,15.2622065600574,16.2490754464436,14.5385995290665,16.095627254876,16.8435507789249,17.3013653236562,16.8329672709415,16.6448328049849,16.0025898195816,15.9548485510704
"AAGAB",3.08592949606591,3.17685684343406,2.48518700509528,2.90134922067102,2.95466947009635,3.74955758943324,2.85110640047351,2.56973126002741,3.64913502498435,2.74702841802471,2.08930444900642,1.73553706954202,1.93639518520311,2.42727810025777,2.81188232887543,3.03374128144761
"ABCB1A",4.41012230723395,4.46615434099616,4.80867062514782,4.50204327061456,4.71793347722841,4.61817536938642,4.54528570077829,5.18951069741583,4.68972605130634,5.01611800237961,4.95373447310685,4.93226597886262,4.96449235307223,5.11541317453889,5.09015084448158,4.79458417793119
"ABCB6",4.49470921247535,4.7297288962574,4.13538919772088,4.58050446337417,4.25021599178771,5.08933504233057,4.86350475803992,4.23964434850168,4.72201440275306,4.29512783453217,3.6004702161476,3.68378562282627,3.75697254331117,3.74270675551895,4.09385616386915,2.98365905975312
"ABCC1",4.42438562134938,4.62571560590807,4.22528971432067,3.49401265457027,4.68790956630983,4.92821735077736,4.79396761468907,4.30813052918781,5.03059189587678,4.57210613947862,3.80976545488238,3.70032223934265,4.1399075705444,4.35138775099086,5.15058022013334,4.73496559454695
"ABCC3",2.37241762112169,2.30438559019386,2.09372879706656,2.1874160569765,2.21931470733026,3.08623506155752,2.90658682351113,1.61896369546036,2.8605278257321,2.14975289938044,1.26463511750522,1.54178060398472,1.76655009639945,1.99498629517207,2.42098837475067,3.34271356535066
"ABCC8",3.13829403464085,3.60139488404964,2.43535854585077,2.28568670089375,2.82561341184308,4.84862133813098,3.1740930114593,2.68135096652272,4.49438583115835,2.85106874121356,1.1488578692268,0.978141305278037,1.25228246989209,1.71799953079849,2.66063092087297,2.76390126890048
"ABCC9",8.09036082540134,8.21811393128307,8.49317978295673,8.09072927766301,8.59171027720469,8.15154539021213,8.26334965431987,8.49888632146419,7.96195163230235,8.52033427772848,8.46150416358898,8.58472679136051,8.56895946166966,8.62608832170427,8.34136824803594,8.1654842784288
"ABCD3",6.23540719990728,6.22415828004491,6.83188128326093,6.33721624663079,6.91613504984482,5.90660168979672,6.21302836735756,6.96978791600012,6.14251915384391,6.79454763015021,7.35830362741352,7.55811979701648,7.52227924457705,7.5165043627536,6.63409237164391,6.96845664355347
"ABHD13",4.46995043305267,4.53674526761928,4.93969013224702,4.59015188657942,4.74054315304118,3.8607563136834,4.71291300683515,4.69685224051622,3.9352140405493,4.69992916765363,4.97262340952462,5.01394496469796,4.96362236734482,4.97686786180022,4.52626223669716,4.64116003365872
