"","GSM5283787","GSM5283788","GSM5283789","GSM5283790","GSM5283791","GSM5283792","GSM5283793","GSM5283794","GSM5283795","GSM5283796","GSM5283797","GSM5283798","GSM5283799","GSM5283800"
"A3GALT2",2.97808101999103,1.44432189805576,2.75514353586253,2.61492669774955,3.17272748729416,2.8217990382737,4.72855034089611,4.83451392315644,4.96399980303661,5.0269961698526,3.19351511707027,2.83332124054965,2.81939444358834,3.85606313297019
"AAAS",5.5964650168214,5.48375414898229,5.90310662924701,5.65803011485376,5.36900022302251,5.77737139082257,6.47455245250835,5.90372104515881,6.0296687591299,5.88939330114011,5.62063780075342,5.78202052303351,5.48960419847669,5.51085064017251
"AACS",5.62109654647369,5.34391625669616,6.0580018472107,5.96570386675496,5.94952935711868,5.9218559893461,5.70950520806388,5.60123093164727,5.29291296039841,5.22873917126114,5.69526809598601,5.95321431443502,5.75324095244126,5.78849572858919
"AADAT",4.63965496294443,4.23515126816627,3.54383723902386,3.27771727548851,3.3461219097918,3.5697552782649,5.71474209342286,4.78173114940869,5.17019297369637,4.55560148891907,3.72086651174513,4.10525346675626,3.68557808029463,4.17171657177112
"AAGAB",4.39793342852951,4.72596315063625,4.62540460278836,4.67576681505578,4.47644967391344,4.32578311662136,4.46824890985344,4.50302166427986,3.97480902234506,4.38786658639765,4.73991285845521,4.5851726393752,4.67858196706289,4.59436790877535
"AAK1",9.07360772089828,9.7581214576371,9.08368975557248,8.96339365261789,9.60997267309467,8.92966991551211,8.4354671001579,9.15205969945687,8.60459659048347,9.04153765526584,9.16950530386912,8.59757051680545,9.22343979617263,8.84419633395052
"AAMDC",2.63529817883131,2.10811068058198,2.16681847253017,2.141179612355,1.93931739575165,2.3010688289002,2.34257373432078,1.35896151069453,2.2659073869739,1.72124060781018,2.23743749271947,2.46375909823741,2.17319273895937,2.30187610489419
"AAMP",7.73318474447829,7.67358125765411,7.67842994206189,7.77453952593673,7.66260740228886,7.57184111749066,7.64289722140583,7.85386469081549,7.96755912893797,7.88252383925842,7.7872040214582,7.71372074760373,7.81328128387276,7.67704022154035
"AAR2",4.73300952912658,4.32181408781825,4.69218801398515,4.84311641850232,5.13425081353225,4.77209875419238,3.86657572705719,4.62504145100811,4.71730992142779,4.04194467063749,4.8309981181988,4.7292507660507,5.17152485273516,4.97986306731141
"AARS2",4.63965496294443,4.43571734141981,5.26609097248066,5.05327694814356,4.68099431412382,5.20169988589467,4.77608289491266,4.35946526362249,4.06783669596346,4.02298121744331,4.89380682960994,5.10002642624358,4.95154261314864,4.93284341449953
