"","GSM2114177","GSM2114178","GSM2114179","GSM2114180","GSM2114181","GSM2114182","GSM2114183","GSM2114184","GSM2114185","GSM2114186"
"A3GALT2",2.69512237621625,2.9939624558373,3.76658307044894,2.81201029184684,4.08154632107481,4.110830745737,3.72706848601855,3.92121556958699,4.12621109146654,4.02706874124868
"AAAS",5.09637713621485,4.98073789629233,5.11588761931846,4.96825813147033,5.05704794811684,4.92296286206097,4.90017403042889,5.03424396329922,5.10820098354437,5.05861793245737
"AACS",6.15219867301578,6.02448680068065,6.25633281421405,6.29726406182395,6.44734259233637,5.98959469828045,6.02789827434026,6.27619459279461,6.37445259064251,6.21733105708483
"AADAT",3.14395503678382,3.3984937880061,3.85675296364534,3.39711449512509,3.31307874562229,3.98494896357269,3.7782514042281,3.49637287311887,3.72498529079987,3.86393565281513
"AAGAB",5.06376692152491,5.18945996791973,5.28781998970296,5.3056062042119,5.37159175541572,5.30701225923069,5.15378155631997,5.14787891252587,5.22455735177256,5.01780294266668
"AAK1",9.50681808757002,9.21334425786016,8.96949605704876,9.17036460492087,8.90788850418794,9.18065931049366,8.89514714535305,8.95411034135498,9.11060442965709,8.93563995874048
"AAMDC",1.80204435549985,2.17049824810913,2.43757458974558,2.57377424750988,2.29422769265212,2.81573859561425,2.60139537235985,1.98167911721378,2.06293772376107,2.22731231941845
"AAMP",8.16745128233438,8.05032293799983,8.12104594315163,8.201004112591,8.09845649282218,7.98702714961615,8.16354779887695,8.12230053443528,8.19879365711697,8.34687146383157
"AAR2",6.23041139924964,6.20393049555183,6.05519434055551,6.05701288599483,6.10743169588287,6.05939533712605,6.16521914944761,6.14614554708522,6.11243321962627,6.09758460143477
"AARS2",4.54210956230819,4.32575411872222,4.52644363633982,4.52714866402155,4.81336810664967,4.55931853752278,4.70567933621433,4.66862216678814,4.48601289433245,4.74833376786843
"AARSD1",6.68003524500715,6.45379811613835,6.58017592388633,6.68972391736226,6.66574100324721,6.5020973272153,6.59355832751053,6.77262198416828,6.76028064011803,6.7968031576214
