"GSM5283787","GSM5283788","GSM5283789","GSM5283790","GSM5283791","GSM5283792","GSM5283793","GSM5283794","GSM5283795","GSM5283796","GSM5283797","GSM5283798","GSM5283799","GSM5283800"
1,6,5,9,4,17,1,0,0,0,10,6,9,8
0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,1,4
121,49,85,84,139,107,416,582,564,604,114,100,117,227
0,0,1,0,0,2,0,0,0,0,0,0,0,0
6,12,1,4,2,0,12,15,4,5,1,5,7,5
753,842,766,705,644,843,1400,1224,1183,1100,620,784,756,719
766,764,853,873,964,932,823,992,709,695,653,883,908,872
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,353,148,134,157,181,826,561,651,435,165,244,215,283
37,34,33,36,56,35,25,32,28,31,33,28,61,43
327,497,315,356,346,307,347,462,283,387,336,341,430,380
8405,16337,6958,6985,12212,7510,5456,11653,7060,9797,7273,5530,10084,7265
95,79,56,60,58,74,78,50,85,59,58,77,74,76
3318,3850,2626,3063,3165,2929,3149,4737,4539,4386,2789,2996,3793,3234
8,6,10,11,8,19,19,13,2,1,6,13,13,4
413,375,330,400,547,419,228,503,475,304,358,377,606,497
79,69,35,27,47,39,104,143,67,57,28,18,46,26
5291,7957,3917,4551,5302,4832,5207,8713,7329,8036,4227,4173,5296,4930
387,406,492,463,399,565,430,418,302,300,374,488,520,481
1376,1376,1525,1590,1553,1772,1410,1441,1756,1341,1244,1562,1840,1488
538,1112,328,346,431,372,510,843,739,1107,308,274,437,340
381,248,159,120,159,177,194,115,182,224,83,128,168,133
262,402,202,204,226,207,304,667,564,538,244,226,257,249
5861,7161,7384,7310,7656,9968,7717,5681,5996,4375,6483,8156,7215,9700
2298,2333,1201,1177,2351,1293,1521,2143,1247,1324,1276,1155,1727,1739
785,770,742,720,1013,878,1007,1154,874,1218,1841,1396,1535,3199
